"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_60_do_80_m2_szt"
"15201",201000,"Powiat bolesławiecki",2015,0
"15202",202000,"Powiat dzierżoniowski",2015,6
"15203",203000,"Powiat głogowski",2015,13
"15204",204000,"Powiat górowski",2015,0
"15205",205000,"Powiat jaworski",2015,0
"15206",206000,"Powiat jeleniogórski",2015,37
"15207",207000,"Powiat kamiennogórski",2015,0
"15208",208000,"Powiat kłodzki",2015,7
"15209",209000,"Powiat legnicki",2015,7
"15210",210000,"Powiat lubański",2015,0
"15211",211000,"Powiat lubiński",2015,21
"15212",212000,"Powiat lwówecki",2015,0
"15213",213000,"Powiat milicki",2015,7
"15214",214000,"Powiat oleśnicki",2015,16
"15215",215000,"Powiat oławski",2015,25
"15216",216000,"Powiat polkowicki",2015,4
"15217",217000,"Powiat strzeliński",2015,4
"15218",218000,"Powiat średzki",2015,0
"15219",219000,"Powiat świdnicki",2015,40
"15220",220000,"Powiat trzebnicki",2015,13
"15221",221000,"Powiat wałbrzyski",2015,3
"15222",222000,"Powiat wołowski",2015,4
"15223",223000,"Powiat wrocławski",2015,239
"15224",224000,"Powiat ząbkowicki",2015,0
"15225",225000,"Powiat zgorzelecki",2015,0
"15226",226000,"Powiat złotoryjski",2015,0
"15227",261000,"Powiat m.Jelenia Góra",2015,24
"15228",262000,"Powiat m.Legnica",2015,25
"15229",264000,"Powiat m.Wrocław",2015,1040
"15230",265000,"Powiat m.Wałbrzych od 2013",2015,0
"15231",401000,"Powiat aleksandrowski",2015,0
"15232",402000,"Powiat brodnicki",2015,27
"15233",403000,"Powiat bydgoski",2015,30
"15234",404000,"Powiat chełmiński",2015,0
"15235",405000,"Powiat golubsko-dobrzyński",2015,0
"15236",406000,"Powiat grudziądzki",2015,0
"15237",407000,"Powiat inowrocławski",2015,24
"15238",408000,"Powiat lipnowski",2015,0
"15239",409000,"Powiat mogileński",2015,0
"15240",410000,"Powiat nakielski",2015,0
"15241",411000,"Powiat radziejowski",2015,0
"15242",412000,"Powiat rypiński",2015,0
"15243",413000,"Powiat sępoleński",2015,0
"15244",414000,"Powiat świecki",2015,23
"15245",415000,"Powiat toruński",2015,0
"15246",416000,"Powiat tucholski",2015,0
"15247",417000,"Powiat wąbrzeski",2015,0
"15248",418000,"Powiat włocławski",2015,3
"15249",419000,"Powiat żniński",2015,0
"15250",461000,"Powiat m.Bydgoszcz",2015,221
"15251",462000,"Powiat m.Grudziądz",2015,14
"15252",463000,"Powiat m.Toruń",2015,0
"15253",464000,"Powiat m.Włocławek",2015,29
"15254",601000,"Powiat bialski",2015,0
"15255",602000,"Powiat biłgorajski",2015,0
"15256",603000,"Powiat chełmski",2015,0
"15257",604000,"Powiat hrubieszowski",2015,0
"15258",605000,"Powiat janowski",2015,0
"15259",606000,"Powiat krasnostawski",2015,7
"15260",607000,"Powiat kraśnicki",2015,0
"15261",608000,"Powiat lubartowski",2015,0
"15262",609000,"Powiat lubelski",2015,0
"15263",610000,"Powiat łęczyński",2015,0
"15264",611000,"Powiat łukowski",2015,0
"15265",612000,"Powiat opolski",2015,0
"15266",613000,"Powiat parczewski",2015,0
"15267",614000,"Powiat puławski",2015,29
"15268",615000,"Powiat radzyński",2015,17
"15269",616000,"Powiat rycki",2015,0
"15270",617000,"Powiat świdnicki",2015,0
"15271",618000,"Powiat tomaszowski",2015,4
"15272",619000,"Powiat włodawski",2015,0
"15273",620000,"Powiat zamojski",2015,0
"15274",661000,"Powiat m.Biała Podlaska",2015,0
"15275",662000,"Powiat m.Chełm",2015,11
"15276",663000,"Powiat m.Lublin",2015,287
"15277",664000,"Powiat m.Zamość",2015,40
"15278",801000,"Powiat gorzowski",2015,0
"15279",802000,"Powiat krośnieński",2015,0
"15280",803000,"Powiat międzyrzecki",2015,0
"15281",804000,"Powiat nowosolski",2015,15
"15282",805000,"Powiat słubicki",2015,28
"15283",806000,"Powiat strzelecko-drezdenecki",2015,0
"15284",807000,"Powiat sulęciński",2015,0
"15285",808000,"Powiat świebodziński",2015,22
"15286",809000,"Powiat zielonogórski",2015,0
"15287",810000,"Powiat żagański",2015,0
"15288",811000,"Powiat żarski",2015,3
"15289",812000,"Powiat wschowski",2015,0
"15290",861000,"Powiat m.Gorzów Wielkopolski",2015,81
"15291",862000,"Powiat m.Zielona Góra",2015,86
"15292",1001000,"Powiat bełchatowski",2015,8
"15293",1002000,"Powiat kutnowski",2015,0
"15294",1003000,"Powiat łaski",2015,0
"15295",1004000,"Powiat łęczycki",2015,0
"15296",1005000,"Powiat łowicki",2015,5
"15297",1006000,"Powiat łódzki wschodni",2015,0
"15298",1007000,"Powiat opoczyński",2015,0
"15299",1008000,"Powiat pabianicki",2015,6
"15300",1009000,"Powiat pajęczański",2015,0
"15301",1010000,"Powiat piotrkowski",2015,0
"15302",1011000,"Powiat poddębicki",2015,11
"15303",1012000,"Powiat radomszczański",2015,0
"15304",1013000,"Powiat rawski",2015,0
"15305",1014000,"Powiat sieradzki",2015,9
"15306",1015000,"Powiat skierniewicki",2015,0
"15307",1016000,"Powiat tomaszowski",2015,4
"15308",1017000,"Powiat wieluński",2015,0
"15309",1018000,"Powiat wieruszowski",2015,11
"15310",1019000,"Powiat zduńskowolski",2015,0
"15311",1020000,"Powiat zgierski",2015,24
"15312",1021000,"Powiat brzeziński",2015,6
"15313",1061000,"Powiat m.Łódź",2015,421
"15314",1062000,"Powiat m.Piotrków Trybunalski",2015,27
"15315",1063000,"Powiat m.Skierniewice",2015,26
"15316",1201000,"Powiat bocheński",2015,12
"15317",1202000,"Powiat brzeski",2015,0
"15318",1203000,"Powiat chrzanowski",2015,3
"15319",1204000,"Powiat dąbrowski",2015,0
"15320",1205000,"Powiat gorlicki",2015,0
"15321",1206000,"Powiat krakowski",2015,13
"15322",1207000,"Powiat limanowski",2015,0
"15323",1208000,"Powiat miechowski",2015,0
"15324",1209000,"Powiat myślenicki",2015,0
"15325",1210000,"Powiat nowosądecki",2015,6
"15326",1211000,"Powiat nowotarski",2015,3
"15327",1212000,"Powiat olkuski",2015,0
"15328",1213000,"Powiat oświęcimski",2015,10
"15329",1214000,"Powiat proszowicki",2015,0
"15330",1215000,"Powiat suski",2015,0
"15331",1216000,"Powiat tarnowski",2015,0
"15332",1217000,"Powiat tatrzański",2015,16
"15333",1218000,"Powiat wadowicki",2015,0
"15334",1219000,"Powiat wielicki",2015,76
"15335",1261000,"Powiat m.Kraków",2015,1247
"15336",1262000,"Powiat m.Nowy Sącz",2015,6
"15337",1263000,"Powiat m.Tarnów",2015,9
"15338",1401000,"Powiat białobrzeski",2015,0
"15339",1402000,"Powiat ciechanowski",2015,5
"15340",1403000,"Powiat garwoliński",2015,0
"15341",1404000,"Powiat gostyniński",2015,0
"15342",1405000,"Powiat grodziski",2015,4
"15343",1406000,"Powiat grójecki",2015,0
"15344",1407000,"Powiat kozienicki",2015,0
"15345",1408000,"Powiat legionowski",2015,22
"15346",1409000,"Powiat lipski",2015,0
"15347",1410000,"Powiat łosicki",2015,0
"15348",1411000,"Powiat makowski",2015,0
"15349",1412000,"Powiat miński",2015,91
"15350",1413000,"Powiat mławski",2015,12
"15351",1414000,"Powiat nowodworski",2015,30
"15352",1415000,"Powiat ostrołęcki",2015,0
"15353",1416000,"Powiat ostrowski",2015,0
"15354",1417000,"Powiat otwocki",2015,7
"15355",1418000,"Powiat piaseczyński",2015,73
"15356",1419000,"Powiat płocki",2015,0
"15357",1420000,"Powiat płoński",2015,14
"15358",1421000,"Powiat pruszkowski",2015,94
"15359",1422000,"Powiat przasnyski",2015,21
"15360",1423000,"Powiat przysuski",2015,0
"15361",1424000,"Powiat pułtuski",2015,14
"15362",1425000,"Powiat radomski",2015,0
"15363",1426000,"Powiat siedlecki",2015,0
"15364",1427000,"Powiat sierpecki",2015,0
"15365",1428000,"Powiat sochaczewski",2015,0
"15366",1429000,"Powiat sokołowski",2015,11
"15367",1430000,"Powiat szydłowiecki",2015,0
"15368",1432000,"Powiat warszawski zachodni",2015,56
"15369",1433000,"Powiat węgrowski",2015,0
"15370",1434000,"Powiat wołomiński",2015,191
"15371",1435000,"Powiat wyszkowski",2015,0
"15372",1436000,"Powiat zwoleński",2015,0
"15373",1437000,"Powiat żuromiński",2015,0
"15374",1438000,"Powiat żyrardowski",2015,7
"15375",1461000,"Powiat m.Ostrołęka",2015,11
"15376",1462000,"Powiat m.Płock",2015,67
"15377",1463000,"Powiat m.Radom",2015,40
"15378",1464000,"Powiat m.Siedlce",2015,76
"15379",1465000,"Powiat m. st. Warszawa",2015,2313
"15380",1601000,"Powiat brzeski",2015,13
"15381",1602000,"Powiat głubczycki",2015,0
"15382",1603000,"Powiat kędzierzyńsko-kozielski",2015,0
"15383",1604000,"Powiat kluczborski",2015,13
"15384",1605000,"Powiat krapkowicki",2015,0
"15385",1606000,"Powiat namysłowski",2015,4
"15386",1607000,"Powiat nyski",2015,3
"15387",1608000,"Powiat oleski",2015,0
"15388",1609000,"Powiat opolski",2015,0
"15389",1610000,"Powiat prudnicki",2015,0
"15390",1611000,"Powiat strzelecki",2015,0
"15391",1661000,"Powiat m.Opole",2015,115
"15392",1801000,"Powiat bieszczadzki",2015,0
"15393",1802000,"Powiat brzozowski",2015,0
"15394",1803000,"Powiat dębicki",2015,21
"15395",1804000,"Powiat jarosławski",2015,0
"15396",1805000,"Powiat jasielski",2015,4
"15397",1806000,"Powiat kolbuszowski",2015,0
"15398",1807000,"Powiat krośnieński",2015,0
"15399",1808000,"Powiat leżajski",2015,0
"15400",1809000,"Powiat lubaczowski",2015,0
"15401",1810000,"Powiat łańcucki",2015,0
"15402",1811000,"Powiat mielecki",2015,8
"15403",1812000,"Powiat niżański",2015,0
"15404",1813000,"Powiat przemyski",2015,0
"15405",1814000,"Powiat przeworski",2015,0
"15406",1815000,"Powiat ropczycko-sędziszowski",2015,0
"15407",1816000,"Powiat rzeszowski",2015,0
"15408",1817000,"Powiat sanocki",2015,0
"15409",1818000,"Powiat stalowowolski",2015,0
"15410",1819000,"Powiat strzyżowski",2015,0
"15411",1820000,"Powiat tarnobrzeski",2015,0
"15412",1821000,"Powiat leski",2015,0
"15413",1861000,"Powiat m.Krosno",2015,14
"15414",1862000,"Powiat m.Przemyśl",2015,10
"15415",1863000,"Powiat m.Rzeszów",2015,177
"15416",1864000,"Powiat m.Tarnobrzeg",2015,14
"15417",2001000,"Powiat augustowski",2015,3
"15418",2002000,"Powiat białostocki",2015,22
"15419",2003000,"Powiat bielski",2015,0
"15420",2004000,"Powiat grajewski",2015,0
"15421",2005000,"Powiat hajnowski",2015,0
"15422",2006000,"Powiat kolneński",2015,0
"15423",2007000,"Powiat łomżyński",2015,0
"15424",2008000,"Powiat moniecki",2015,0
"15425",2009000,"Powiat sejneński",2015,0
"15426",2010000,"Powiat siemiatycki",2015,0
"15427",2011000,"Powiat sokólski",2015,6
"15428",2012000,"Powiat suwalski",2015,0
"15429",2013000,"Powiat wysokomazowiecki",2015,0
"15430",2014000,"Powiat zambrowski",2015,14
"15431",2061000,"Powiat m.Białystok",2015,198
"15432",2062000,"Powiat m.Łomża",2015,25
"15433",2063000,"Powiat m.Suwałki",2015,12
"15434",2201000,"Powiat bytowski",2015,0
"15435",2202000,"Powiat chojnicki",2015,0
"15436",2203000,"Powiat człuchowski",2015,0
"15437",2204000,"Powiat gdański",2015,71
"15438",2205000,"Powiat kartuski",2015,119
"15439",2206000,"Powiat kościerski",2015,16
"15440",2207000,"Powiat kwidzyński",2015,7
"15441",2208000,"Powiat lęborski",2015,7
"15442",2209000,"Powiat malborski",2015,8
"15443",2210000,"Powiat nowodworski",2015,0
"15444",2211000,"Powiat pucki",2015,56
"15445",2212000,"Powiat słupski",2015,27
"15446",2213000,"Powiat starogardzki",2015,0
"15447",2214000,"Powiat tczewski",2015,24
"15448",2215000,"Powiat wejherowski",2015,136
"15449",2216000,"Powiat sztumski",2015,0
"15450",2261000,"Powiat m.Gdańsk",2015,836
"15451",2262000,"Powiat m.Gdynia",2015,293
"15452",2263000,"Powiat m.Słupsk",2015,23
"15453",2264000,"Powiat m.Sopot",2015,22
"15454",2401000,"Powiat będziński",2015,8
"15455",2402000,"Powiat bielski",2015,4
"15456",2403000,"Powiat cieszyński",2015,20
"15457",2404000,"Powiat częstochowski",2015,0
"15458",2405000,"Powiat gliwicki",2015,5
"15459",2406000,"Powiat kłobucki",2015,0
"15460",2407000,"Powiat lubliniecki",2015,4
"15461",2408000,"Powiat mikołowski",2015,23
"15462",2409000,"Powiat myszkowski",2015,0
"15463",2410000,"Powiat pszczyński",2015,0
"15464",2411000,"Powiat raciborski",2015,0
"15465",2412000,"Powiat rybnicki",2015,0
"15466",2413000,"Powiat tarnogórski",2015,0
"15467",2414000,"Powiat bieruńsko-lędziński",2015,4
"15468",2415000,"Powiat wodzisławski",2015,0
"15469",2416000,"Powiat zawierciański",2015,0
"15470",2417000,"Powiat żywiecki",2015,0
"15471",2461000,"Powiat m.Bielsko-Biała",2015,53
"15472",2462000,"Powiat m.Bytom",2015,0
"15473",2463000,"Powiat m.Chorzów",2015,0
"15474",2464000,"Powiat m.Częstochowa",2015,26
"15475",2465000,"Powiat m.Dąbrowa Górnicza",2015,4
"15476",2466000,"Powiat m.Gliwice",2015,58
"15477",2467000,"Powiat m.Jastrzębie-Zdrój",2015,0
"15478",2468000,"Powiat m.Jaworzno",2015,21
"15479",2469000,"Powiat m.Katowice",2015,7
"15480",2470000,"Powiat m.Mysłowice",2015,17
"15481",2471000,"Powiat m.Piekary Śląskie",2015,0
"15482",2472000,"Powiat m.Ruda Śląska",2015,50
"15483",2473000,"Powiat m.Rybnik",2015,0
"15484",2474000,"Powiat m.Siemianowice Śląskie",2015,8
"15485",2475000,"Powiat m.Sosnowiec",2015,24
"15486",2476000,"Powiat m.Świętochłowice",2015,70
"15487",2477000,"Powiat m.Tychy",2015,6
"15488",2478000,"Powiat m.Zabrze",2015,0
"15489",2479000,"Powiat m.Żory",2015,10
"15490",2601000,"Powiat buski",2015,0
"15491",2602000,"Powiat jędrzejowski",2015,0
"15492",2603000,"Powiat kazimierski",2015,0
"15493",2604000,"Powiat kielecki",2015,0
"15494",2605000,"Powiat konecki",2015,0
"15495",2606000,"Powiat opatowski",2015,0
"15496",2607000,"Powiat ostrowiecki",2015,3
"15497",2608000,"Powiat pińczowski",2015,0
"15498",2609000,"Powiat sandomierski",2015,0
"15499",2610000,"Powiat skarżyski",2015,3
"15500",2611000,"Powiat starachowicki",2015,3
"15501",2612000,"Powiat staszowski",2015,0
"15502",2613000,"Powiat włoszczowski",2015,0
"15503",2661000,"Powiat m.Kielce",2015,139
"15504",2801000,"Powiat bartoszycki",2015,0
"15505",2802000,"Powiat braniewski",2015,0
"15506",2803000,"Powiat działdowski",2015,12
"15507",2804000,"Powiat elbląski",2015,5
"15508",2805000,"Powiat ełcki",2015,27
"15509",2806000,"Powiat giżycki",2015,25
"15510",2807000,"Powiat iławski",2015,17
"15511",2808000,"Powiat kętrzyński",2015,5
"15512",2809000,"Powiat lidzbarski",2015,0
"15513",2810000,"Powiat mrągowski",2015,13
"15514",2811000,"Powiat nidzicki",2015,3
"15515",2812000,"Powiat nowomiejski",2015,0
"15516",2813000,"Powiat olecki",2015,0
"15517",2814000,"Powiat olsztyński",2015,33
"15518",2815000,"Powiat ostródzki",2015,15
"15519",2816000,"Powiat piski",2015,3
"15520",2817000,"Powiat szczycieński",2015,5
"15521",2818000,"Powiat gołdapski",2015,0
"15522",2819000,"Powiat węgorzewski",2015,0
"15523",2861000,"Powiat m.Elbląg",2015,20
"15524",2862000,"Powiat m.Olsztyn",2015,137
"15525",3001000,"Powiat chodzieski",2015,0
"15526",3002000,"Powiat czarnkowsko-trzcianecki",2015,11
"15527",3003000,"Powiat gnieźnieński",2015,6
"15528",3004000,"Powiat gostyński",2015,18
"15529",3005000,"Powiat grodziski",2015,5
"15530",3006000,"Powiat jarociński",2015,6
"15531",3007000,"Powiat kaliski",2015,0
"15532",3008000,"Powiat kępiński",2015,0
"15533",3009000,"Powiat kolski",2015,0
"15534",3010000,"Powiat koniński",2015,0
"15535",3011000,"Powiat kościański",2015,10
"15536",3012000,"Powiat krotoszyński",2015,0
"15537",3013000,"Powiat leszczyński",2015,0
"15538",3014000,"Powiat międzychodzki",2015,11
"15539",3015000,"Powiat nowotomyski",2015,0
"15540",3016000,"Powiat obornicki",2015,28
"15541",3017000,"Powiat ostrowski",2015,18
"15542",3018000,"Powiat ostrzeszowski",2015,0
"15543",3019000,"Powiat pilski",2015,19
"15544",3020000,"Powiat pleszewski",2015,0
"15545",3021000,"Powiat poznański",2015,416
"15546",3022000,"Powiat rawicki",2015,0
"15547",3023000,"Powiat słupecki",2015,0
"15548",3024000,"Powiat szamotulski",2015,0
"15549",3025000,"Powiat średzki",2015,9
"15550",3026000,"Powiat śremski",2015,0
"15551",3027000,"Powiat turecki",2015,0
"15552",3028000,"Powiat wągrowiecki",2015,9
"15553",3029000,"Powiat wolsztyński",2015,0
"15554",3030000,"Powiat wrzesiński",2015,18
"15555",3031000,"Powiat złotowski",2015,11
"15556",3061000,"Powiat m.Kalisz",2015,17
"15557",3062000,"Powiat m.Konin",2015,20
"15558",3063000,"Powiat m.Leszno",2015,37
"15559",3064000,"Powiat m.Poznań",2015,540
"15560",3201000,"Powiat białogardzki",2015,0
"15561",3202000,"Powiat choszczeński",2015,0
"15562",3203000,"Powiat drawski",2015,0
"15563",3204000,"Powiat goleniowski",2015,0
"15564",3205000,"Powiat gryficki",2015,0
"15565",3206000,"Powiat gryfiński",2015,0
"15566",3207000,"Powiat kamieński",2015,12
"15567",3208000,"Powiat kołobrzeski",2015,10
"15568",3209000,"Powiat koszaliński",2015,7
"15569",3210000,"Powiat myśliborski",2015,16
"15570",3211000,"Powiat policki",2015,29
"15571",3212000,"Powiat pyrzycki",2015,0
"15572",3213000,"Powiat sławieński",2015,3
"15573",3214000,"Powiat stargardzki",2015,17
"15574",3215000,"Powiat szczecinecki",2015,12
"15575",3216000,"Powiat świdwiński",2015,0
"15576",3217000,"Powiat wałecki",2015,0
"15577",3218000,"Powiat łobeski",2015,0
"15578",3261000,"Powiat m.Koszalin",2015,0
"15579",3262000,"Powiat m.Szczecin",2015,231
"15580",3263000,"Powiat m.Świnoujście",2015,0
"15581",201000,"Powiat bolesławiecki",2016,19
"15582",202000,"Powiat dzierżoniowski",2016,5
"15583",203000,"Powiat głogowski",2016,20
"15584",204000,"Powiat górowski",2016,0
"15585",205000,"Powiat jaworski",2016,0
"15586",206000,"Powiat jeleniogórski",2016,0
"15587",207000,"Powiat kamiennogórski",2016,0
"15588",208000,"Powiat kłodzki",2016,9
"15589",209000,"Powiat legnicki",2016,0
"15590",210000,"Powiat lubański",2016,0
"15591",211000,"Powiat lubiński",2016,42
"15592",212000,"Powiat lwówecki",2016,0
"15593",213000,"Powiat milicki",2016,14
"15594",214000,"Powiat oleśnicki",2016,11
"15595",215000,"Powiat oławski",2016,52
"15596",216000,"Powiat polkowicki",2016,0
"15597",217000,"Powiat strzeliński",2016,3
"15598",218000,"Powiat średzki",2016,0
"15599",219000,"Powiat świdnicki",2016,38
"15600",220000,"Powiat trzebnicki",2016,18
"15601",221000,"Powiat wałbrzyski",2016,0
"15602",222000,"Powiat wołowski",2016,4
"15603",223000,"Powiat wrocławski",2016,265
"15604",224000,"Powiat ząbkowicki",2016,0
"15605",225000,"Powiat zgorzelecki",2016,0
"15606",226000,"Powiat złotoryjski",2016,0
"15607",261000,"Powiat m.Jelenia Góra",2016,46
"15608",262000,"Powiat m.Legnica",2016,32
"15609",264000,"Powiat m.Wrocław",2016,1503
"15610",265000,"Powiat m.Wałbrzych od 2013",2016,0
"15611",401000,"Powiat aleksandrowski",2016,7
"15612",402000,"Powiat brodnicki",2016,26
"15613",403000,"Powiat bydgoski",2016,24
"15614",404000,"Powiat chełmiński",2016,4
"15615",405000,"Powiat golubsko-dobrzyński",2016,0
"15616",406000,"Powiat grudziądzki",2016,0
"15617",407000,"Powiat inowrocławski",2016,11
"15618",408000,"Powiat lipnowski",2016,0
"15619",409000,"Powiat mogileński",2016,0
"15620",410000,"Powiat nakielski",2016,0
"15621",411000,"Powiat radziejowski",2016,0
"15622",412000,"Powiat rypiński",2016,0
"15623",413000,"Powiat sępoleński",2016,0
"15624",414000,"Powiat świecki",2016,13
"15625",415000,"Powiat toruński",2016,0
"15626",416000,"Powiat tucholski",2016,0
"15627",417000,"Powiat wąbrzeski",2016,0
"15628",418000,"Powiat włocławski",2016,0
"15629",419000,"Powiat żniński",2016,0
"15630",461000,"Powiat m.Bydgoszcz",2016,213
"15631",462000,"Powiat m.Grudziądz",2016,0
"15632",463000,"Powiat m.Toruń",2016,0
"15633",464000,"Powiat m.Włocławek",2016,21
"15634",601000,"Powiat bialski",2016,0
"15635",602000,"Powiat biłgorajski",2016,3
"15636",603000,"Powiat chełmski",2016,0
"15637",604000,"Powiat hrubieszowski",2016,3
"15638",605000,"Powiat janowski",2016,0
"15639",606000,"Powiat krasnostawski",2016,0
"15640",607000,"Powiat kraśnicki",2016,0
"15641",608000,"Powiat lubartowski",2016,0
"15642",609000,"Powiat lubelski",2016,0
"15643",610000,"Powiat łęczyński",2016,13
"15644",611000,"Powiat łukowski",2016,0
"15645",612000,"Powiat opolski",2016,3
"15646",613000,"Powiat parczewski",2016,0
"15647",614000,"Powiat puławski",2016,26
"15648",615000,"Powiat radzyński",2016,9
"15649",616000,"Powiat rycki",2016,0
"15650",617000,"Powiat świdnicki",2016,0
"15651",618000,"Powiat tomaszowski",2016,7
"15652",619000,"Powiat włodawski",2016,0
"15653",620000,"Powiat zamojski",2016,0
"15654",661000,"Powiat m.Biała Podlaska",2016,19
"15655",662000,"Powiat m.Chełm",2016,20
"15656",663000,"Powiat m.Lublin",2016,419
"15657",664000,"Powiat m.Zamość",2016,19
"15658",801000,"Powiat gorzowski",2016,6
"15659",802000,"Powiat krośnieński",2016,0
"15660",803000,"Powiat międzyrzecki",2016,0
"15661",804000,"Powiat nowosolski",2016,0
"15662",805000,"Powiat słubicki",2016,36
"15663",806000,"Powiat strzelecko-drezdenecki",2016,4
"15664",807000,"Powiat sulęciński",2016,0
"15665",808000,"Powiat świebodziński",2016,30
"15666",809000,"Powiat zielonogórski",2016,8
"15667",810000,"Powiat żagański",2016,4
"15668",811000,"Powiat żarski",2016,9
"15669",812000,"Powiat wschowski",2016,0
"15670",861000,"Powiat m.Gorzów Wielkopolski",2016,136
"15671",862000,"Powiat m.Zielona Góra",2016,44
"15672",1001000,"Powiat bełchatowski",2016,0
"15673",1002000,"Powiat kutnowski",2016,6
"15674",1003000,"Powiat łaski",2016,0
"15675",1004000,"Powiat łęczycki",2016,0
"15676",1005000,"Powiat łowicki",2016,6
