"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_szt"
"22324",2474000,"Powiat m.Siemianowice Śląskie",2018,130
"22325",2475000,"Powiat m.Sosnowiec",2018,129
"22326",2476000,"Powiat m.Świętochłowice",2018,79
"22327",2477000,"Powiat m.Tychy",2018,177
"22328",2478000,"Powiat m.Zabrze",2018,375
"22329",2479000,"Powiat m.Żory",2018,14
"22330",2601000,"Powiat buski",2018,10
"22331",2602000,"Powiat jędrzejowski",2018,23
"22332",2603000,"Powiat kazimierski",2018,4
"22333",2604000,"Powiat kielecki",2018,0
"22334",2605000,"Powiat konecki",2018,21
"22335",2606000,"Powiat opatowski",2018,3
"22336",2607000,"Powiat ostrowiecki",2018,33
"22337",2608000,"Powiat pińczowski",2018,7
"22338",2609000,"Powiat sandomierski",2018,17
"22339",2610000,"Powiat skarżyski",2018,52
"22340",2611000,"Powiat starachowicki",2018,72
"22341",2612000,"Powiat staszowski",2018,15
"22342",2613000,"Powiat włoszczowski",2018,12
"22343",2661000,"Powiat m.Kielce",2018,312
"22344",2801000,"Powiat bartoszycki",2018,63
"22345",2802000,"Powiat braniewski",2018,56
"22346",2803000,"Powiat działdowski",2018,39
"22347",2804000,"Powiat elbląski",2018,25
"22348",2805000,"Powiat ełcki",2018,91
"22349",2806000,"Powiat giżycki",2018,82
"22350",2807000,"Powiat iławski",2018,88
"22351",2808000,"Powiat kętrzyński",2018,83
"22352",2809000,"Powiat lidzbarski",2018,53
"22353",2810000,"Powiat mrągowski",2018,57
"22354",2811000,"Powiat nidzicki",2018,34
"22355",2812000,"Powiat nowomiejski",2018,21
"22356",2813000,"Powiat olecki",2018,22
"22357",2814000,"Powiat olsztyński",2018,97
"22358",2815000,"Powiat ostródzki",2018,108
"22359",2816000,"Powiat piski",2018,54
"22360",2817000,"Powiat szczycieński",2018,47
"22361",2818000,"Powiat gołdapski",2018,21
"22362",2819000,"Powiat węgorzewski",2018,18
"22363",2861000,"Powiat m.Elbląg",2018,186
"22364",2862000,"Powiat m.Olsztyn",2018,420
"22365",3001000,"Powiat chodzieski",2018,19
"22366",3002000,"Powiat czarnkowsko-trzcianecki",2018,12
"22367",3003000,"Powiat gnieźnieński",2018,56
"22368",3004000,"Powiat gostyński",2018,10
"22369",3005000,"Powiat grodziski",2018,10
"22370",3006000,"Powiat jarociński",2018,12
"22371",3007000,"Powiat kaliski",2018,3
"22372",3008000,"Powiat kępiński",2018,3
"22373",3009000,"Powiat kolski",2018,23
"22374",3010000,"Powiat koniński",2018,11
"22375",3011000,"Powiat kościański",2018,16
"22376",3012000,"Powiat krotoszyński",2018,17
"22377",3013000,"Powiat leszczyński",2018,0
"22378",3014000,"Powiat międzychodzki",2018,20
"22379",3015000,"Powiat nowotomyski",2018,13
"22380",3016000,"Powiat obornicki",2018,26
"22381",3017000,"Powiat ostrowski",2018,57
"22382",3018000,"Powiat ostrzeszowski",2018,5
"22383",3019000,"Powiat pilski",2018,118
"22384",3020000,"Powiat pleszewski",2018,11
"22385",3021000,"Powiat poznański",2018,88
"22386",3022000,"Powiat rawicki",2018,12
"22387",3023000,"Powiat słupecki",2018,17
"22388",3024000,"Powiat szamotulski",2018,25
"22389",3025000,"Powiat średzki",2018,19
"22390",3026000,"Powiat śremski",2018,28
"22391",3027000,"Powiat turecki",2018,38
"22392",3028000,"Powiat wągrowiecki",2018,19
"22393",3029000,"Powiat wolsztyński",2018,14
"22394",3030000,"Powiat wrzesiński",2018,43
"22395",3031000,"Powiat złotowski",2018,26
"22396",3061000,"Powiat m.Kalisz",2018,155
"22397",3062000,"Powiat m.Konin",2018,138
"22398",3063000,"Powiat m.Leszno",2018,42
"22399",3064000,"Powiat m.Poznań",2018,789
"22400",3201000,"Powiat białogardzki",2018,57
"22401",3202000,"Powiat choszczeński",2018,31
"22402",3203000,"Powiat drawski",2018,33
"22403",3204000,"Powiat goleniowski",2018,76
"22404",3205000,"Powiat gryficki",2018,55
"22405",3206000,"Powiat gryfiński",2018,49
"22406",3207000,"Powiat kamieński",2018,56
"22407",3208000,"Powiat kołobrzeski",2018,174
"22408",3209000,"Powiat koszaliński",2018,54
"22409",3210000,"Powiat myśliborski",2018,41
"22410",3211000,"Powiat policki",2018,39
"22411",3212000,"Powiat pyrzycki",2018,26
"22412",3213000,"Powiat sławieński",2018,61
"22413",3214000,"Powiat stargardzki",2018,142
"22414",3215000,"Powiat szczecinecki",2018,102
"22415",3216000,"Powiat świdwiński",2018,43
"22416",3217000,"Powiat wałecki",2018,26
"22417",3218000,"Powiat łobeski",2018,26
"22418",3261000,"Powiat m.Koszalin",2018,210
"22419",3262000,"Powiat m.Szczecin",2018,522
"22420",3263000,"Powiat m.Świnoujście",2018,53
"22421",201000,"Powiat bolesławiecki",2019,NA
"22422",202000,"Powiat dzierżoniowski",2019,NA
"22423",203000,"Powiat głogowski",2019,NA
"22424",204000,"Powiat górowski",2019,NA
"22425",205000,"Powiat jaworski",2019,NA
"22426",206000,"Powiat jeleniogórski",2019,NA
"22427",207000,"Powiat kamiennogórski",2019,NA
"22428",208000,"Powiat kłodzki",2019,NA
"22429",209000,"Powiat legnicki",2019,NA
"22430",210000,"Powiat lubański",2019,NA
"22431",211000,"Powiat lubiński",2019,NA
"22432",212000,"Powiat lwówecki",2019,NA
"22433",213000,"Powiat milicki",2019,NA
"22434",214000,"Powiat oleśnicki",2019,NA
"22435",215000,"Powiat oławski",2019,NA
"22436",216000,"Powiat polkowicki",2019,NA
"22437",217000,"Powiat strzeliński",2019,NA
"22438",218000,"Powiat średzki",2019,NA
"22439",219000,"Powiat świdnicki",2019,NA
"22440",220000,"Powiat trzebnicki",2019,NA
"22441",221000,"Powiat wałbrzyski",2019,NA
"22442",222000,"Powiat wołowski",2019,NA
"22443",223000,"Powiat wrocławski",2019,NA
"22444",224000,"Powiat ząbkowicki",2019,NA
"22445",225000,"Powiat zgorzelecki",2019,NA
"22446",226000,"Powiat złotoryjski",2019,NA
"22447",261000,"Powiat m.Jelenia Góra",2019,NA
"22448",262000,"Powiat m.Legnica",2019,NA
"22449",264000,"Powiat m.Wrocław",2019,NA
"22450",265000,"Powiat m.Wałbrzych od 2013",2019,NA
"22451",401000,"Powiat aleksandrowski",2019,NA
"22452",402000,"Powiat brodnicki",2019,NA
"22453",403000,"Powiat bydgoski",2019,NA
"22454",404000,"Powiat chełmiński",2019,NA
"22455",405000,"Powiat golubsko-dobrzyński",2019,NA
"22456",406000,"Powiat grudziądzki",2019,NA
"22457",407000,"Powiat inowrocławski",2019,NA
"22458",408000,"Powiat lipnowski",2019,NA
"22459",409000,"Powiat mogileński",2019,NA
"22460",410000,"Powiat nakielski",2019,NA
"22461",411000,"Powiat radziejowski",2019,NA
"22462",412000,"Powiat rypiński",2019,NA
"22463",413000,"Powiat sępoleński",2019,NA
"22464",414000,"Powiat świecki",2019,NA
"22465",415000,"Powiat toruński",2019,NA
"22466",416000,"Powiat tucholski",2019,NA
"22467",417000,"Powiat wąbrzeski",2019,NA
"22468",418000,"Powiat włocławski",2019,NA
"22469",419000,"Powiat żniński",2019,NA
"22470",461000,"Powiat m.Bydgoszcz",2019,NA
"22471",462000,"Powiat m.Grudziądz",2019,NA
"22472",463000,"Powiat m.Toruń",2019,NA
"22473",464000,"Powiat m.Włocławek",2019,NA
"22474",601000,"Powiat bialski",2019,NA
"22475",602000,"Powiat biłgorajski",2019,NA
"22476",603000,"Powiat chełmski",2019,NA
"22477",604000,"Powiat hrubieszowski",2019,NA
"22478",605000,"Powiat janowski",2019,NA
"22479",606000,"Powiat krasnostawski",2019,NA
"22480",607000,"Powiat kraśnicki",2019,NA
"22481",608000,"Powiat lubartowski",2019,NA
"22482",609000,"Powiat lubelski",2019,NA
"22483",610000,"Powiat łęczyński",2019,NA
"22484",611000,"Powiat łukowski",2019,NA
"22485",612000,"Powiat opolski",2019,NA
"22486",613000,"Powiat parczewski",2019,NA
"22487",614000,"Powiat puławski",2019,NA
"22488",615000,"Powiat radzyński",2019,NA
"22489",616000,"Powiat rycki",2019,NA
"22490",617000,"Powiat świdnicki",2019,NA
"22491",618000,"Powiat tomaszowski",2019,NA
"22492",619000,"Powiat włodawski",2019,NA
"22493",620000,"Powiat zamojski",2019,NA
"22494",661000,"Powiat m.Biała Podlaska",2019,NA
"22495",662000,"Powiat m.Chełm",2019,NA
"22496",663000,"Powiat m.Lublin",2019,NA
"22497",664000,"Powiat m.Zamość",2019,NA
"22498",801000,"Powiat gorzowski",2019,NA
"22499",802000,"Powiat krośnieński",2019,NA
"22500",803000,"Powiat międzyrzecki",2019,NA
"22501",804000,"Powiat nowosolski",2019,NA
"22502",805000,"Powiat słubicki",2019,NA
"22503",806000,"Powiat strzelecko-drezdenecki",2019,NA
"22504",807000,"Powiat sulęciński",2019,NA
"22505",808000,"Powiat świebodziński",2019,NA
"22506",809000,"Powiat zielonogórski",2019,NA
"22507",810000,"Powiat żagański",2019,NA
"22508",811000,"Powiat żarski",2019,NA
"22509",812000,"Powiat wschowski",2019,NA
"22510",861000,"Powiat m.Gorzów Wielkopolski",2019,NA
"22511",862000,"Powiat m.Zielona Góra",2019,NA
"22512",1001000,"Powiat bełchatowski",2019,NA
"22513",1002000,"Powiat kutnowski",2019,NA
"22514",1003000,"Powiat łaski",2019,NA
"22515",1004000,"Powiat łęczycki",2019,NA
"22516",1005000,"Powiat łowicki",2019,NA
"22517",1006000,"Powiat łódzki wschodni",2019,NA
"22518",1007000,"Powiat opoczyński",2019,NA
"22519",1008000,"Powiat pabianicki",2019,NA
"22520",1009000,"Powiat pajęczański",2019,NA
"22521",1010000,"Powiat piotrkowski",2019,NA
"22522",1011000,"Powiat poddębicki",2019,NA
"22523",1012000,"Powiat radomszczański",2019,NA
"22524",1013000,"Powiat rawski",2019,NA
"22525",1014000,"Powiat sieradzki",2019,NA
"22526",1015000,"Powiat skierniewicki",2019,NA
"22527",1016000,"Powiat tomaszowski",2019,NA
"22528",1017000,"Powiat wieluński",2019,NA
"22529",1018000,"Powiat wieruszowski",2019,NA
"22530",1019000,"Powiat zduńskowolski",2019,NA
"22531",1020000,"Powiat zgierski",2019,NA
"22532",1021000,"Powiat brzeziński",2019,NA
"22533",1061000,"Powiat m.Łódź",2019,NA
"22534",1062000,"Powiat m.Piotrków Trybunalski",2019,NA
"22535",1063000,"Powiat m.Skierniewice",2019,NA
"22536",1201000,"Powiat bocheński",2019,NA
"22537",1202000,"Powiat brzeski",2019,NA
"22538",1203000,"Powiat chrzanowski",2019,NA
"22539",1204000,"Powiat dąbrowski",2019,NA
"22540",1205000,"Powiat gorlicki",2019,NA
"22541",1206000,"Powiat krakowski",2019,NA
"22542",1207000,"Powiat limanowski",2019,NA
"22543",1208000,"Powiat miechowski",2019,NA
"22544",1209000,"Powiat myślenicki",2019,NA
"22545",1210000,"Powiat nowosądecki",2019,NA
"22546",1211000,"Powiat nowotarski",2019,NA
"22547",1212000,"Powiat olkuski",2019,NA
"22548",1213000,"Powiat oświęcimski",2019,NA
"22549",1214000,"Powiat proszowicki",2019,NA
"22550",1215000,"Powiat suski",2019,NA
"22551",1216000,"Powiat tarnowski",2019,NA
"22552",1217000,"Powiat tatrzański",2019,NA
"22553",1218000,"Powiat wadowicki",2019,NA
"22554",1219000,"Powiat wielicki",2019,NA
"22555",1261000,"Powiat m.Kraków",2019,NA
"22556",1262000,"Powiat m.Nowy Sącz",2019,NA
"22557",1263000,"Powiat m.Tarnów",2019,NA
"22558",1401000,"Powiat białobrzeski",2019,NA
"22559",1402000,"Powiat ciechanowski",2019,NA
"22560",1403000,"Powiat garwoliński",2019,NA
"22561",1404000,"Powiat gostyniński",2019,NA
"22562",1405000,"Powiat grodziski",2019,NA
"22563",1406000,"Powiat grójecki",2019,NA
"22564",1407000,"Powiat kozienicki",2019,NA
"22565",1408000,"Powiat legionowski",2019,NA
"22566",1409000,"Powiat lipski",2019,NA
"22567",1410000,"Powiat łosicki",2019,NA
"22568",1411000,"Powiat makowski",2019,NA
"22569",1412000,"Powiat miński",2019,NA
"22570",1413000,"Powiat mławski",2019,NA
"22571",1414000,"Powiat nowodworski",2019,NA
"22572",1415000,"Powiat ostrołęcki",2019,NA
"22573",1416000,"Powiat ostrowski",2019,NA
"22574",1417000,"Powiat otwocki",2019,NA
"22575",1418000,"Powiat piaseczyński",2019,NA
"22576",1419000,"Powiat płocki",2019,NA
"22577",1420000,"Powiat płoński",2019,NA
"22578",1421000,"Powiat pruszkowski",2019,NA
"22579",1422000,"Powiat przasnyski",2019,NA
"22580",1423000,"Powiat przysuski",2019,NA
"22581",1424000,"Powiat pułtuski",2019,NA
"22582",1425000,"Powiat radomski",2019,NA
"22583",1426000,"Powiat siedlecki",2019,NA
"22584",1427000,"Powiat sierpecki",2019,NA
"22585",1428000,"Powiat sochaczewski",2019,NA
"22586",1429000,"Powiat sokołowski",2019,NA
"22587",1430000,"Powiat szydłowiecki",2019,NA
"22588",1432000,"Powiat warszawski zachodni",2019,NA
"22589",1433000,"Powiat węgrowski",2019,NA
"22590",1434000,"Powiat wołomiński",2019,NA
"22591",1435000,"Powiat wyszkowski",2019,NA
"22592",1436000,"Powiat zwoleński",2019,NA
"22593",1437000,"Powiat żuromiński",2019,NA
"22594",1438000,"Powiat żyrardowski",2019,NA
"22595",1461000,"Powiat m.Ostrołęka",2019,NA
"22596",1462000,"Powiat m.Płock",2019,NA
"22597",1463000,"Powiat m.Radom",2019,NA
"22598",1464000,"Powiat m.Siedlce",2019,NA
"22599",1465000,"Powiat m. st. Warszawa",2019,NA
"22600",1601000,"Powiat brzeski",2019,NA
"22601",1602000,"Powiat głubczycki",2019,NA
"22602",1603000,"Powiat kędzierzyńsko-kozielski",2019,NA
"22603",1604000,"Powiat kluczborski",2019,NA
"22604",1605000,"Powiat krapkowicki",2019,NA
"22605",1606000,"Powiat namysłowski",2019,NA
"22606",1607000,"Powiat nyski",2019,NA
"22607",1608000,"Powiat oleski",2019,NA
"22608",1609000,"Powiat opolski",2019,NA
"22609",1610000,"Powiat prudnicki",2019,NA
"22610",1611000,"Powiat strzelecki",2019,NA
"22611",1661000,"Powiat m.Opole",2019,NA
"22612",1801000,"Powiat bieszczadzki",2019,NA
"22613",1802000,"Powiat brzozowski",2019,NA
"22614",1803000,"Powiat dębicki",2019,NA
"22615",1804000,"Powiat jarosławski",2019,NA
"22616",1805000,"Powiat jasielski",2019,NA
"22617",1806000,"Powiat kolbuszowski",2019,NA
"22618",1807000,"Powiat krośnieński",2019,NA
"22619",1808000,"Powiat leżajski",2019,NA
"22620",1809000,"Powiat lubaczowski",2019,NA
"22621",1810000,"Powiat łańcucki",2019,NA
"22622",1811000,"Powiat mielecki",2019,NA
"22623",1812000,"Powiat niżański",2019,NA
"22624",1813000,"Powiat przemyski",2019,NA
"22625",1814000,"Powiat przeworski",2019,NA
"22626",1815000,"Powiat ropczycko-sędziszowski",2019,NA
"22627",1816000,"Powiat rzeszowski",2019,NA
"22628",1817000,"Powiat sanocki",2019,NA
"22629",1818000,"Powiat stalowowolski",2019,NA
"22630",1819000,"Powiat strzyżowski",2019,NA
"22631",1820000,"Powiat tarnobrzeski",2019,NA
"22632",1821000,"Powiat leski",2019,NA
"22633",1861000,"Powiat m.Krosno",2019,NA
"22634",1862000,"Powiat m.Przemyśl",2019,NA
"22635",1863000,"Powiat m.Rzeszów",2019,NA
"22636",1864000,"Powiat m.Tarnobrzeg",2019,NA
"22637",2001000,"Powiat augustowski",2019,NA
"22638",2002000,"Powiat białostocki",2019,NA
"22639",2003000,"Powiat bielski",2019,NA
"22640",2004000,"Powiat grajewski",2019,NA
"22641",2005000,"Powiat hajnowski",2019,NA
"22642",2006000,"Powiat kolneński",2019,NA
"22643",2007000,"Powiat łomżyński",2019,NA
"22644",2008000,"Powiat moniecki",2019,NA
"22645",2009000,"Powiat sejneński",2019,NA
"22646",2010000,"Powiat siemiatycki",2019,NA
"22647",2011000,"Powiat sokólski",2019,NA
"22648",2012000,"Powiat suwalski",2019,NA
"22649",2013000,"Powiat wysokomazowiecki",2019,NA
"22650",2014000,"Powiat zambrowski",2019,NA
"22651",2061000,"Powiat m.Białystok",2019,NA
"22652",2062000,"Powiat m.Łomża",2019,NA
"22653",2063000,"Powiat m.Suwałki",2019,NA
"22654",2201000,"Powiat bytowski",2019,NA
"22655",2202000,"Powiat chojnicki",2019,NA
"22656",2203000,"Powiat człuchowski",2019,NA
"22657",2204000,"Powiat gdański",2019,NA
"22658",2205000,"Powiat kartuski",2019,NA
"22659",2206000,"Powiat kościerski",2019,NA
"22660",2207000,"Powiat kwidzyński",2019,NA
"22661",2208000,"Powiat lęborski",2019,NA
"22662",2209000,"Powiat malborski",2019,NA
"22663",2210000,"Powiat nowodworski",2019,NA
"22664",2211000,"Powiat pucki",2019,NA
"22665",2212000,"Powiat słupski",2019,NA
"22666",2213000,"Powiat starogardzki",2019,NA
"22667",2214000,"Powiat tczewski",2019,NA
"22668",2215000,"Powiat wejherowski",2019,NA
"22669",2216000,"Powiat sztumski",2019,NA
"22670",2261000,"Powiat m.Gdańsk",2019,NA
"22671",2262000,"Powiat m.Gdynia",2019,NA
"22672",2263000,"Powiat m.Słupsk",2019,NA
"22673",2264000,"Powiat m.Sopot",2019,NA
"22674",2401000,"Powiat będziński",2019,NA
"22675",2402000,"Powiat bielski",2019,NA
"22676",2403000,"Powiat cieszyński",2019,NA
"22677",2404000,"Powiat częstochowski",2019,NA
"22678",2405000,"Powiat gliwicki",2019,NA
"22679",2406000,"Powiat kłobucki",2019,NA
"22680",2407000,"Powiat lubliniecki",2019,NA
"22681",2408000,"Powiat mikołowski",2019,NA
"22682",2409000,"Powiat myszkowski",2019,NA
"22683",2410000,"Powiat pszczyński",2019,NA
"22684",2411000,"Powiat raciborski",2019,NA
"22685",2412000,"Powiat rybnicki",2019,NA
"22686",2413000,"Powiat tarnogórski",2019,NA
"22687",2414000,"Powiat bieruńsko-lędziński",2019,NA
"22688",2415000,"Powiat wodzisławski",2019,NA
"22689",2416000,"Powiat zawierciański",2019,NA
"22690",2417000,"Powiat żywiecki",2019,NA
"22691",2461000,"Powiat m.Bielsko-Biała",2019,NA
"22692",2462000,"Powiat m.Bytom",2019,NA
"22693",2463000,"Powiat m.Chorzów",2019,NA
"22694",2464000,"Powiat m.Częstochowa",2019,NA
"22695",2465000,"Powiat m.Dąbrowa Górnicza",2019,NA
"22696",2466000,"Powiat m.Gliwice",2019,NA
"22697",2467000,"Powiat m.Jastrzębie-Zdrój",2019,NA
"22698",2468000,"Powiat m.Jaworzno",2019,NA
"22699",2469000,"Powiat m.Katowice",2019,NA
"22700",2470000,"Powiat m.Mysłowice",2019,NA
"22701",2471000,"Powiat m.Piekary Śląskie",2019,NA
"22702",2472000,"Powiat m.Ruda Śląska",2019,NA
"22703",2473000,"Powiat m.Rybnik",2019,NA
"22704",2474000,"Powiat m.Siemianowice Śląskie",2019,NA
"22705",2475000,"Powiat m.Sosnowiec",2019,NA
"22706",2476000,"Powiat m.Świętochłowice",2019,NA
"22707",2477000,"Powiat m.Tychy",2019,NA
"22708",2478000,"Powiat m.Zabrze",2019,NA
"22709",2479000,"Powiat m.Żory",2019,NA
"22710",2601000,"Powiat buski",2019,NA
"22711",2602000,"Powiat jędrzejowski",2019,NA
"22712",2603000,"Powiat kazimierski",2019,NA
"22713",2604000,"Powiat kielecki",2019,NA
"22714",2605000,"Powiat konecki",2019,NA
"22715",2606000,"Powiat opatowski",2019,NA
"22716",2607000,"Powiat ostrowiecki",2019,NA
"22717",2608000,"Powiat pińczowski",2019,NA
"22718",2609000,"Powiat sandomierski",2019,NA
"22719",2610000,"Powiat skarżyski",2019,NA
"22720",2611000,"Powiat starachowicki",2019,NA
"22721",2612000,"Powiat staszowski",2019,NA
"22722",2613000,"Powiat włoszczowski",2019,NA
"22723",2661000,"Powiat m.Kielce",2019,NA
"22724",2801000,"Powiat bartoszycki",2019,NA
"22725",2802000,"Powiat braniewski",2019,NA
"22726",2803000,"Powiat działdowski",2019,NA
"22727",2804000,"Powiat elbląski",2019,NA
"22728",2805000,"Powiat ełcki",2019,NA
"22729",2806000,"Powiat giżycki",2019,NA
"22730",2807000,"Powiat iławski",2019,NA
"22731",2808000,"Powiat kętrzyński",2019,NA
"22732",2809000,"Powiat lidzbarski",2019,NA
"22733",2810000,"Powiat mrągowski",2019,NA
"22734",2811000,"Powiat nidzicki",2019,NA
"22735",2812000,"Powiat nowomiejski",2019,NA
"22736",2813000,"Powiat olecki",2019,NA
"22737",2814000,"Powiat olsztyński",2019,NA
"22738",2815000,"Powiat ostródzki",2019,NA
"22739",2816000,"Powiat piski",2019,NA
"22740",2817000,"Powiat szczycieński",2019,NA
"22741",2818000,"Powiat gołdapski",2019,NA
"22742",2819000,"Powiat węgorzewski",2019,NA
"22743",2861000,"Powiat m.Elbląg",2019,NA
"22744",2862000,"Powiat m.Olsztyn",2019,NA
"22745",3001000,"Powiat chodzieski",2019,NA
"22746",3002000,"Powiat czarnkowsko-trzcianecki",2019,NA
"22747",3003000,"Powiat gnieźnieński",2019,NA
"22748",3004000,"Powiat gostyński",2019,NA
"22749",3005000,"Powiat grodziski",2019,NA
"22750",3006000,"Powiat jarociński",2019,NA
"22751",3007000,"Powiat kaliski",2019,NA
"22752",3008000,"Powiat kępiński",2019,NA
"22753",3009000,"Powiat kolski",2019,NA
"22754",3010000,"Powiat koniński",2019,NA
"22755",3011000,"Powiat kościański",2019,NA
"22756",3012000,"Powiat krotoszyński",2019,NA
"22757",3013000,"Powiat leszczyński",2019,NA
"22758",3014000,"Powiat międzychodzki",2019,NA
"22759",3015000,"Powiat nowotomyski",2019,NA
"22760",3016000,"Powiat obornicki",2019,NA
"22761",3017000,"Powiat ostrowski",2019,NA
"22762",3018000,"Powiat ostrzeszowski",2019,NA
"22763",3019000,"Powiat pilski",2019,NA
"22764",3020000,"Powiat pleszewski",2019,NA
"22765",3021000,"Powiat poznański",2019,NA
"22766",3022000,"Powiat rawicki",2019,NA
"22767",3023000,"Powiat słupecki",2019,NA
"22768",3024000,"Powiat szamotulski",2019,NA
"22769",3025000,"Powiat średzki",2019,NA
"22770",3026000,"Powiat śremski",2019,NA
"22771",3027000,"Powiat turecki",2019,NA
"22772",3028000,"Powiat wągrowiecki",2019,NA
"22773",3029000,"Powiat wolsztyński",2019,NA
"22774",3030000,"Powiat wrzesiński",2019,NA
"22775",3031000,"Powiat złotowski",2019,NA
"22776",3061000,"Powiat m.Kalisz",2019,NA
"22777",3062000,"Powiat m.Konin",2019,NA
"22778",3063000,"Powiat m.Leszno",2019,NA
"22779",3064000,"Powiat m.Poznań",2019,NA
"22780",3201000,"Powiat białogardzki",2019,NA
"22781",3202000,"Powiat choszczeński",2019,NA
"22782",3203000,"Powiat drawski",2019,NA
"22783",3204000,"Powiat goleniowski",2019,NA
"22784",3205000,"Powiat gryficki",2019,NA
"22785",3206000,"Powiat gryfiński",2019,NA
"22786",3207000,"Powiat kamieński",2019,NA
"22787",3208000,"Powiat kołobrzeski",2019,NA
"22788",3209000,"Powiat koszaliński",2019,NA
"22789",3210000,"Powiat myśliborski",2019,NA
"22790",3211000,"Powiat policki",2019,NA
"22791",3212000,"Powiat pyrzycki",2019,NA
"22792",3213000,"Powiat sławieński",2019,NA
"22793",3214000,"Powiat stargardzki",2019,NA
"22794",3215000,"Powiat szczecinecki",2019,NA
"22795",3216000,"Powiat świdwiński",2019,NA
"22796",3217000,"Powiat wałecki",2019,NA
"22797",3218000,"Powiat łobeski",2019,NA
"22798",3261000,"Powiat m.Koszalin",2019,NA
"22799",3262000,"Powiat m.Szczecin",2019,NA
"22800",3263000,"Powiat m.Świnoujście",2019,NA
