"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_ogolem_zl"
"1",201000,"Powiat bolesławiecki",2015,2756
"2",202000,"Powiat dzierżoniowski",2015,1861
"3",203000,"Powiat głogowski",2015,3107
"4",204000,"Powiat górowski",2015,2113
"5",205000,"Powiat jaworski",2015,2331
"6",206000,"Powiat jeleniogórski",2015,3792
"7",207000,"Powiat kamiennogórski",2015,1393
"8",208000,"Powiat kłodzki",2015,2198
"9",209000,"Powiat legnicki",2015,2110
"10",210000,"Powiat lubański",2015,1899
"11",211000,"Powiat lubiński",2015,2973
"12",212000,"Powiat lwówecki",2015,1264
"13",213000,"Powiat milicki",2015,2777
"14",214000,"Powiat oleśnicki",2015,3121
"15",215000,"Powiat oławski",2015,3291
"16",216000,"Powiat polkowicki",2015,2560
"17",217000,"Powiat strzeliński",2015,3074
"18",218000,"Powiat średzki",2015,3639
"19",219000,"Powiat świdnicki",2015,2417
"20",220000,"Powiat trzebnicki",2015,3600
"21",221000,"Powiat wałbrzyski",2015,1416
"22",222000,"Powiat wołowski",2015,2790
"23",223000,"Powiat wrocławski",2015,4196
"24",224000,"Powiat ząbkowicki",2015,1649
"25",225000,"Powiat zgorzelecki",2015,1209
"26",226000,"Powiat złotoryjski",2015,2146
"27",261000,"Powiat m.Jelenia Góra",2015,2530
"28",262000,"Powiat m.Legnica",2015,2645
"29",264000,"Powiat m.Wrocław",2015,5244
"30",265000,"Powiat m.Wałbrzych od 2013",2015,1907
"31",401000,"Powiat aleksandrowski",2015,3208
"32",402000,"Powiat brodnicki",2015,3008
"33",403000,"Powiat bydgoski",2015,3616
"34",404000,"Powiat chełmiński",2015,2358
"35",405000,"Powiat golubsko-dobrzyński",2015,2439
"36",406000,"Powiat grudziądzki",2015,1529
"37",407000,"Powiat inowrocławski",2015,2881
"38",408000,"Powiat lipnowski",2015,1786
"39",409000,"Powiat mogileński",2015,1988
"40",410000,"Powiat nakielski",2015,2443
"41",411000,"Powiat radziejowski",2015,2010
"42",412000,"Powiat rypiński",2015,1908
"43",413000,"Powiat sępoleński",2015,1657
"44",414000,"Powiat świecki",2015,2657
"45",415000,"Powiat toruński",2015,2396
"46",416000,"Powiat tucholski",2015,2329
"47",417000,"Powiat wąbrzeski",2015,2075
"48",418000,"Powiat włocławski",2015,1725
"49",419000,"Powiat żniński",2015,2508
"50",461000,"Powiat m.Bydgoszcz",2015,3855
"51",462000,"Powiat m.Grudziądz",2015,2452
"52",463000,"Powiat m.Toruń",2015,3846
"53",464000,"Powiat m.Włocławek",2015,2551
"54",601000,"Powiat bialski",2015,2449
"55",602000,"Powiat biłgorajski",2015,2957
"56",603000,"Powiat chełmski",2015,1839
"57",604000,"Powiat hrubieszowski",2015,2135
"58",605000,"Powiat janowski",2015,2530
"59",606000,"Powiat krasnostawski",2015,2655
"60",607000,"Powiat kraśnicki",2015,2308
"61",608000,"Powiat lubartowski",2015,3426
"62",609000,"Powiat lubelski",2015,3716
"63",610000,"Powiat łęczyński",2015,2926
"64",611000,"Powiat łukowski",2015,2895
"65",612000,"Powiat opolski",2015,2603
"66",613000,"Powiat parczewski",2015,2805
"67",614000,"Powiat puławski",2015,3746
"68",615000,"Powiat radzyński",2015,2515
"69",616000,"Powiat rycki",2015,2215
"70",617000,"Powiat świdnicki",2015,3648
"71",618000,"Powiat tomaszowski",2015,3176
"72",619000,"Powiat włodawski",2015,2321
"73",620000,"Powiat zamojski",2015,1907
"74",661000,"Powiat m.Biała Podlaska",2015,2946
"75",662000,"Powiat m.Chełm",2015,2632
"76",663000,"Powiat m.Lublin",2015,4769
"77",664000,"Powiat m.Zamość",2015,3100
"78",801000,"Powiat gorzowski",2015,2303
"79",802000,"Powiat krośnieński",2015,2099
"80",803000,"Powiat międzyrzecki",2015,2130
"81",804000,"Powiat nowosolski",2015,2105
"82",805000,"Powiat słubicki",2015,2806
"83",806000,"Powiat strzelecko-drezdenecki",2015,2281
"84",807000,"Powiat sulęciński",2015,2021
"85",808000,"Powiat świebodziński",2015,2623
"86",809000,"Powiat zielonogórski",2015,2056
"87",810000,"Powiat żagański",2015,1954
"88",811000,"Powiat żarski",2015,2114
"89",812000,"Powiat wschowski",2015,1720
"90",861000,"Powiat m.Gorzów Wielkopolski",2015,3104
"91",862000,"Powiat m.Zielona Góra",2015,3259
"92",1001000,"Powiat bełchatowski",2015,2492
"93",1002000,"Powiat kutnowski",2015,1773
"94",1003000,"Powiat łaski",2015,2442
"95",1004000,"Powiat łęczycki",2015,2255
"96",1005000,"Powiat łowicki",2015,2927
"97",1006000,"Powiat łódzki wschodni",2015,1235
"98",1007000,"Powiat opoczyński",2015,2604
"99",1008000,"Powiat pabianicki",2015,2522
"100",1009000,"Powiat pajęczański",2015,3025
"101",1010000,"Powiat piotrkowski",2015,1812
"102",1011000,"Powiat poddębicki",2015,3127
"103",1012000,"Powiat radomszczański",2015,2564
"104",1013000,"Powiat rawski",2015,2853
"105",1014000,"Powiat sieradzki",2015,2434
"106",1015000,"Powiat skierniewicki",2015,1792
"107",1016000,"Powiat tomaszowski",2015,2607
"108",1017000,"Powiat wieluński",2015,2893
"109",1018000,"Powiat wieruszowski",2015,2669
"110",1019000,"Powiat zduńskowolski",2015,2414
"111",1020000,"Powiat zgierski",2015,2910
"112",1021000,"Powiat brzeziński",2015,3314
"113",1061000,"Powiat m.Łódź",2015,3534
"114",1062000,"Powiat m.Piotrków Trybunalski",2015,2706
"115",1063000,"Powiat m.Skierniewice",2015,3676
"116",1201000,"Powiat bocheński",2015,3998
"117",1202000,"Powiat brzeski",2015,3186
"118",1203000,"Powiat chrzanowski",2015,2660
"119",1204000,"Powiat dąbrowski",2015,2647
"120",1205000,"Powiat gorlicki",2015,2588
"121",1206000,"Powiat krakowski",2015,4487
"122",1207000,"Powiat limanowski",2015,3112
"123",1208000,"Powiat miechowski",2015,3102
"124",1209000,"Powiat myślenicki",2015,4407
"125",1210000,"Powiat nowosądecki",2015,2872
"126",1211000,"Powiat nowotarski",2015,4451
"127",1212000,"Powiat olkuski",2015,2589
"128",1213000,"Powiat oświęcimski",2015,2673
"129",1214000,"Powiat proszowicki",2015,3356
"130",1215000,"Powiat suski",2015,1062
"131",1216000,"Powiat tarnowski",2015,0
"132",1217000,"Powiat tatrzański",2015,10340
"133",1218000,"Powiat wadowicki",2015,2970
"134",1219000,"Powiat wielicki",2015,4351
"135",1261000,"Powiat m.Kraków",2015,6102
"136",1262000,"Powiat m.Nowy Sącz",2015,2881
"137",1263000,"Powiat m.Tarnów",2015,2900
"138",1401000,"Powiat białobrzeski",2015,3001
"139",1402000,"Powiat ciechanowski",2015,2998
"140",1403000,"Powiat garwoliński",2015,1305
"141",1404000,"Powiat gostyniński",2015,2448
"142",1405000,"Powiat grodziski",2015,4083
"143",1406000,"Powiat grójecki",2015,2289
"144",1407000,"Powiat kozienicki",2015,3058
"145",1408000,"Powiat legionowski",2015,4135
"146",1409000,"Powiat lipski",2015,0
"147",1410000,"Powiat łosicki",2015,2883
"148",1411000,"Powiat makowski",2015,0
"149",1412000,"Powiat miński",2015,3989
"150",1413000,"Powiat mławski",2015,2881
"151",1414000,"Powiat nowodworski",2015,4006
"152",1415000,"Powiat ostrołęcki",2015,1174
"153",1416000,"Powiat ostrowski",2015,2864
"154",1417000,"Powiat otwocki",2015,4663
"155",1418000,"Powiat piaseczyński",2015,5233
"156",1419000,"Powiat płocki",2015,2457
"157",1420000,"Powiat płoński",2015,2989
"158",1421000,"Powiat pruszkowski",2015,5155
"159",1422000,"Powiat przasnyski",2015,3119
"160",1423000,"Powiat przysuski",2015,2160
"161",1424000,"Powiat pułtuski",2015,3285
"162",1425000,"Powiat radomski",2015,1743
"163",1426000,"Powiat siedlecki",2015,1231
"164",1427000,"Powiat sierpecki",2015,2353
"165",1428000,"Powiat sochaczewski",2015,3056
"166",1429000,"Powiat sokołowski",2015,2933
"167",1430000,"Powiat szydłowiecki",2015,1967
"168",1432000,"Powiat warszawski zachodni",2015,4448
"169",1433000,"Powiat węgrowski",2015,2564
"170",1434000,"Powiat wołomiński",2015,4409
"171",1435000,"Powiat wyszkowski",2015,3557
"172",1436000,"Powiat zwoleński",2015,2113
"173",1437000,"Powiat żuromiński",2015,3055
"174",1438000,"Powiat żyrardowski",2015,3081
"175",1461000,"Powiat m.Ostrołęka",2015,2874
"176",1462000,"Powiat m.Płock",2015,3704
"177",1463000,"Powiat m.Radom",2015,3141
"178",1464000,"Powiat m.Siedlce",2015,3795
"179",1465000,"Powiat m. st. Warszawa",2015,7257
"180",1601000,"Powiat brzeski",2015,2562
"181",1602000,"Powiat głubczycki",2015,1511
"182",1603000,"Powiat kędzierzyńsko-kozielski",2015,2158
"183",1604000,"Powiat kluczborski",2015,2027
"184",1605000,"Powiat krapkowicki",2015,2345
"185",1606000,"Powiat namysłowski",2015,2857
"186",1607000,"Powiat nyski",2015,2141
"187",1608000,"Powiat oleski",2015,2238
"188",1609000,"Powiat opolski",2015,2216
"189",1610000,"Powiat prudnicki",2015,1531
"190",1611000,"Powiat strzelecki",2015,2110
"191",1661000,"Powiat m.Opole",2015,4119
"192",1801000,"Powiat bieszczadzki",2015,1969
"193",1802000,"Powiat brzozowski",2015,2500
"194",1803000,"Powiat dębicki",2015,2820
"195",1804000,"Powiat jarosławski",2015,2875
"196",1805000,"Powiat jasielski",2015,2213
"197",1806000,"Powiat kolbuszowski",2015,2047
"198",1807000,"Powiat krośnieński",2015,1593
"199",1808000,"Powiat leżajski",2015,1890
"200",1809000,"Powiat lubaczowski",2015,1941
"201",1810000,"Powiat łańcucki",2015,2966
"202",1811000,"Powiat mielecki",2015,2927
"203",1812000,"Powiat niżański",2015,2333
"204",1813000,"Powiat przemyski",2015,2595
"205",1814000,"Powiat przeworski",2015,2500
"206",1815000,"Powiat ropczycko-sędziszowski",2015,2967
"207",1816000,"Powiat rzeszowski",2015,3642
"208",1817000,"Powiat sanocki",2015,2697
"209",1818000,"Powiat stalowowolski",2015,2543
"210",1819000,"Powiat strzyżowski",2015,2653
"211",1820000,"Powiat tarnobrzeski",2015,1974
"212",1821000,"Powiat leski",2015,2607
"213",1861000,"Powiat m.Krosno",2015,3126
"214",1862000,"Powiat m.Przemyśl",2015,2743
"215",1863000,"Powiat m.Rzeszów",2015,4583
"216",1864000,"Powiat m.Tarnobrzeg",2015,2678
"217",2001000,"Powiat augustowski",2015,3874
"218",2002000,"Powiat białostocki",2015,3244
"219",2003000,"Powiat bielski",2015,0
"220",2004000,"Powiat grajewski",2015,2563
"221",2005000,"Powiat hajnowski",2015,1981
"222",2006000,"Powiat kolneński",2015,2316
"223",2007000,"Powiat łomżyński",2015,0
"224",2008000,"Powiat moniecki",2015,2391
"225",2009000,"Powiat sejneński",2015,2000
"226",2010000,"Powiat siemiatycki",2015,2169
"227",2011000,"Powiat sokólski",2015,3188
"228",2012000,"Powiat suwalski",2015,1352
"229",2013000,"Powiat wysokomazowiecki",2015,1266
"230",2014000,"Powiat zambrowski",2015,2962
"231",2061000,"Powiat m.Białystok",2015,4438
"232",2062000,"Powiat m.Łomża",2015,3397
"233",2063000,"Powiat m.Suwałki",2015,3077
"234",2201000,"Powiat bytowski",2015,2831
"235",2202000,"Powiat chojnicki",2015,2717
"236",2203000,"Powiat człuchowski",2015,1938
"237",2204000,"Powiat gdański",2015,4171
"238",2205000,"Powiat kartuski",2015,3372
"239",2206000,"Powiat kościerski",2015,3690
"240",2207000,"Powiat kwidzyński",2015,2265
"241",2208000,"Powiat lęborski",2015,2612
"242",2209000,"Powiat malborski",2015,2970
"243",2210000,"Powiat nowodworski",2015,4319
"244",2211000,"Powiat pucki",2015,4575
"245",2212000,"Powiat słupski",2015,3317
"246",2213000,"Powiat starogardzki",2015,2783
"247",2214000,"Powiat tczewski",2015,3500
"248",2215000,"Powiat wejherowski",2015,4063
"249",2216000,"Powiat sztumski",2015,1821
"250",2261000,"Powiat m.Gdańsk",2015,5282
"251",2262000,"Powiat m.Gdynia",2015,5313
"252",2263000,"Powiat m.Słupsk",2015,3159
"253",2264000,"Powiat m.Sopot",2015,7570
"254",2401000,"Powiat będziński",2015,2250
"255",2402000,"Powiat bielski",2015,2748
"256",2403000,"Powiat cieszyński",2015,2788
"257",2404000,"Powiat częstochowski",2015,1727
"258",2405000,"Powiat gliwicki",2015,2439
"259",2406000,"Powiat kłobucki",2015,2629
"260",2407000,"Powiat lubliniecki",2015,2341
"261",2408000,"Powiat mikołowski",2015,2792
"262",2409000,"Powiat myszkowski",2015,1798
"263",2410000,"Powiat pszczyński",2015,2401
"264",2411000,"Powiat raciborski",2015,1838
"265",2412000,"Powiat rybnicki",2015,1995
"266",2413000,"Powiat tarnogórski",2015,2372
"267",2414000,"Powiat bieruńsko-lędziński",2015,2523
"268",2415000,"Powiat wodzisławski",2015,1818
"269",2416000,"Powiat zawierciański",2015,1782
"270",2417000,"Powiat żywiecki",2015,2969
"271",2461000,"Powiat m.Bielsko-Biała",2015,3215
"272",2462000,"Powiat m.Bytom",2015,1809
"273",2463000,"Powiat m.Chorzów",2015,2529
"274",2464000,"Powiat m.Częstochowa",2015,2647
"275",2465000,"Powiat m.Dąbrowa Górnicza",2015,2505
"276",2466000,"Powiat m.Gliwice",2015,3048
"277",2467000,"Powiat m.Jastrzębie-Zdrój",2015,2138
"278",2468000,"Powiat m.Jaworzno",2015,2885
"279",2469000,"Powiat m.Katowice",2015,3210
"280",2470000,"Powiat m.Mysłowice",2015,2451
"281",2471000,"Powiat m.Piekary Śląskie",2015,2116
"282",2472000,"Powiat m.Ruda Śląska",2015,2434
"283",2473000,"Powiat m.Rybnik",2015,2274
"284",2474000,"Powiat m.Siemianowice Śląskie",2015,2525
"285",2475000,"Powiat m.Sosnowiec",2015,2482
"286",2476000,"Powiat m.Świętochłowice",2015,2734
"287",2477000,"Powiat m.Tychy",2015,3509
"288",2478000,"Powiat m.Zabrze",2015,2354
"289",2479000,"Powiat m.Żory",2015,2433
"290",2601000,"Powiat buski",2015,2747
"291",2602000,"Powiat jędrzejowski",2015,2486
"292",2603000,"Powiat kazimierski",2015,1708
"293",2604000,"Powiat kielecki",2015,2283
"294",2605000,"Powiat konecki",2015,2281
"295",2606000,"Powiat opatowski",2015,2202
"296",2607000,"Powiat ostrowiecki",2015,1991
"297",2608000,"Powiat pińczowski",2015,2002
"298",2609000,"Powiat sandomierski",2015,2567
"299",2610000,"Powiat skarżyski",2015,2206
"300",2611000,"Powiat starachowicki",2015,2107
"301",2612000,"Powiat staszowski",2015,2394
"302",2613000,"Powiat włoszczowski",2015,2617
"303",2661000,"Powiat m.Kielce",2015,4302
"304",2801000,"Powiat bartoszycki",2015,1783
"305",2802000,"Powiat braniewski",2015,2110
"306",2803000,"Powiat działdowski",2015,2968
"307",2804000,"Powiat elbląski",2015,2501
"308",2805000,"Powiat ełcki",2015,2842
"309",2806000,"Powiat giżycki",2015,3231
"310",2807000,"Powiat iławski",2015,3176
"311",2808000,"Powiat kętrzyński",2015,1727
"312",2809000,"Powiat lidzbarski",2015,2140
"313",2810000,"Powiat mrągowski",2015,2862
"314",2811000,"Powiat nidzicki",2015,2379
"315",2812000,"Powiat nowomiejski",2015,2326
"316",2813000,"Powiat olecki",2015,2803
"317",2814000,"Powiat olsztyński",2015,3161
"318",2815000,"Powiat ostródzki",2015,2816
"319",2816000,"Powiat piski",2015,2167
"320",2817000,"Powiat szczycieński",2015,2850
"321",2818000,"Powiat gołdapski",2015,1842
"322",2819000,"Powiat węgorzewski",2015,2596
"323",2861000,"Powiat m.Elbląg",2015,2856
"324",2862000,"Powiat m.Olsztyn",2015,4403
"325",3001000,"Powiat chodzieski",2015,2481
"326",3002000,"Powiat czarnkowsko-trzcianecki",2015,2158
"327",3003000,"Powiat gnieźnieński",2015,2943
"328",3004000,"Powiat gostyński",2015,2774
"329",3005000,"Powiat grodziski",2015,2711
"330",3006000,"Powiat jarociński",2015,2883
"331",3007000,"Powiat kaliski",2015,1389
"332",3008000,"Powiat kępiński",2015,3007
"333",3009000,"Powiat kolski",2015,2586
"334",3010000,"Powiat koniński",2015,2129
"335",3011000,"Powiat kościański",2015,3247
"336",3012000,"Powiat krotoszyński",2015,2183
"337",3013000,"Powiat leszczyński",2015,2512
"338",3014000,"Powiat międzychodzki",2015,2459
"339",3015000,"Powiat nowotomyski",2015,2840
"340",3016000,"Powiat obornicki",2015,3352
"341",3017000,"Powiat ostrowski",2015,2634
"342",3018000,"Powiat ostrzeszowski",2015,3498
"343",3019000,"Powiat pilski",2015,2891
"344",3020000,"Powiat pleszewski",2015,2813
"345",3021000,"Powiat poznański",2015,4060
"346",3022000,"Powiat rawicki",2015,2927
"347",3023000,"Powiat słupecki",2015,2571
"348",3024000,"Powiat szamotulski",2015,2113
"349",3025000,"Powiat średzki",2015,3154
"350",3026000,"Powiat śremski",2015,2516
"351",3027000,"Powiat turecki",2015,2246
"352",3028000,"Powiat wągrowiecki",2015,3102
"353",3029000,"Powiat wolsztyński",2015,2662
"354",3030000,"Powiat wrzesiński",2015,3531
"355",3031000,"Powiat złotowski",2015,2631
"356",3061000,"Powiat m.Kalisz",2015,2859
"357",3062000,"Powiat m.Konin",2015,3043
"358",3063000,"Powiat m.Leszno",2015,3402
"359",3064000,"Powiat m.Poznań",2015,5650
"360",3201000,"Powiat białogardzki",2015,1800
"361",3202000,"Powiat choszczeński",2015,2266
"362",3203000,"Powiat drawski",2015,2198
"363",3204000,"Powiat goleniowski",2015,2857
"364",3205000,"Powiat gryficki",2015,2302
"365",3206000,"Powiat gryfiński",2015,2537
"366",3207000,"Powiat kamieński",2015,4110
"367",3208000,"Powiat kołobrzeski",2015,4324
"368",3209000,"Powiat koszaliński",2015,2401
"369",3210000,"Powiat myśliborski",2015,2595
"370",3211000,"Powiat policki",2015,4151
"371",3212000,"Powiat pyrzycki",2015,2260
"372",3213000,"Powiat sławieński",2015,2998
"373",3214000,"Powiat stargardzki",2015,3148
"374",3215000,"Powiat szczecinecki",2015,2369
"375",3216000,"Powiat świdwiński",2015,1673
"376",3217000,"Powiat wałecki",2015,2222
"377",3218000,"Powiat łobeski",2015,1625
"378",3261000,"Powiat m.Koszalin",2015,3216
"379",3262000,"Powiat m.Szczecin",2015,4375
"380",3263000,"Powiat m.Świnoujście",2015,4381
"381",201000,"Powiat bolesławiecki",2016,2749
"382",202000,"Powiat dzierżoniowski",2016,1918
"383",203000,"Powiat głogowski",2016,3195
"384",204000,"Powiat górowski",2016,2829
"385",205000,"Powiat jaworski",2016,2067
"386",206000,"Powiat jeleniogórski",2016,2543
"387",207000,"Powiat kamiennogórski",2016,1417
"388",208000,"Powiat kłodzki",2016,2000
"389",209000,"Powiat legnicki",2016,2361
"390",210000,"Powiat lubański",2016,2121
"391",211000,"Powiat lubiński",2016,3206
"392",212000,"Powiat lwówecki",2016,1399
"393",213000,"Powiat milicki",2016,2686
"394",214000,"Powiat oleśnicki",2016,3240
"395",215000,"Powiat oławski",2016,3386
"396",216000,"Powiat polkowicki",2016,2635
"397",217000,"Powiat strzeliński",2016,2915
"398",218000,"Powiat średzki",2016,3948
"399",219000,"Powiat świdnicki",2016,2677
"400",220000,"Powiat trzebnicki",2016,3615
"401",221000,"Powiat wałbrzyski",2016,1356
"402",222000,"Powiat wołowski",2016,2719
"403",223000,"Powiat wrocławski",2016,4167
"404",224000,"Powiat ząbkowicki",2016,1807
"405",225000,"Powiat zgorzelecki",2016,2033
"406",226000,"Powiat złotoryjski",2016,2298
"407",261000,"Powiat m.Jelenia Góra",2016,2532
"408",262000,"Powiat m.Legnica",2016,2767
"409",264000,"Powiat m.Wrocław",2016,5409
"410",265000,"Powiat m.Wałbrzych od 2013",2016,1838
"411",401000,"Powiat aleksandrowski",2016,3052
"412",402000,"Powiat brodnicki",2016,3001
"413",403000,"Powiat bydgoski",2016,3233
"414",404000,"Powiat chełmiński",2016,2566
"415",405000,"Powiat golubsko-dobrzyński",2016,2237
"416",406000,"Powiat grudziądzki",2016,1827
"417",407000,"Powiat inowrocławski",2016,2800
"418",408000,"Powiat lipnowski",2016,2084
"419",409000,"Powiat mogileński",2016,2110
"420",410000,"Powiat nakielski",2016,2708
"421",411000,"Powiat radziejowski",2016,1882
"422",412000,"Powiat rypiński",2016,1669
"423",413000,"Powiat sępoleński",2016,1832
"424",414000,"Powiat świecki",2016,2836
"425",415000,"Powiat toruński",2016,2553
"426",416000,"Powiat tucholski",2016,2294
"427",417000,"Powiat wąbrzeski",2016,1925
"428",418000,"Powiat włocławski",2016,1953
"429",419000,"Powiat żniński",2016,2188
"430",461000,"Powiat m.Bydgoszcz",2016,4012
"431",462000,"Powiat m.Grudziądz",2016,2475
"432",463000,"Powiat m.Toruń",2016,4061
"433",464000,"Powiat m.Włocławek",2016,2500
"434",601000,"Powiat bialski",2016,2557
"435",602000,"Powiat biłgorajski",2016,2799
"436",603000,"Powiat chełmski",2016,2024
"437",604000,"Powiat hrubieszowski",2016,2155
"438",605000,"Powiat janowski",2016,2441
"439",606000,"Powiat krasnostawski",2016,2471
"440",607000,"Powiat kraśnicki",2016,2368
"441",608000,"Powiat lubartowski",2016,3499
"442",609000,"Powiat lubelski",2016,3615
"443",610000,"Powiat łęczyński",2016,3745
"444",611000,"Powiat łukowski",2016,3140
"445",612000,"Powiat opolski",2016,2632
"446",613000,"Powiat parczewski",2016,2330
"447",614000,"Powiat puławski",2016,3755
"448",615000,"Powiat radzyński",2016,2813
"449",616000,"Powiat rycki",2016,2649
"450",617000,"Powiat świdnicki",2016,3742
"451",618000,"Powiat tomaszowski",2016,2023
"452",619000,"Powiat włodawski",2016,2400
"453",620000,"Powiat zamojski",2016,2192
"454",661000,"Powiat m.Biała Podlaska",2016,3000
"455",662000,"Powiat m.Chełm",2016,2788
"456",663000,"Powiat m.Lublin",2016,4966
"457",664000,"Powiat m.Zamość",2016,3007
"458",801000,"Powiat gorzowski",2016,2501
"459",802000,"Powiat krośnieński",2016,2044
"460",803000,"Powiat międzyrzecki",2016,2174
"461",804000,"Powiat nowosolski",2016,1895
"462",805000,"Powiat słubicki",2016,2928
"463",806000,"Powiat strzelecko-drezdenecki",2016,2550
"464",807000,"Powiat sulęciński",2016,2257
"465",808000,"Powiat świebodziński",2016,2994
"466",809000,"Powiat zielonogórski",2016,2402
"467",810000,"Powiat żagański",2016,1855
"468",811000,"Powiat żarski",2016,2183
"469",812000,"Powiat wschowski",2016,2324
"470",861000,"Powiat m.Gorzów Wielkopolski",2016,3333
"471",862000,"Powiat m.Zielona Góra",2016,3475
"472",1001000,"Powiat bełchatowski",2016,2542
"473",1002000,"Powiat kutnowski",2016,3355
"474",1003000,"Powiat łaski",2016,2138
"475",1004000,"Powiat łęczycki",2016,2500
"476",1005000,"Powiat łowicki",2016,3265
