"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2659",3262000,"Powiat m.Szczecin",2018,18
"2660",3263000,"Powiat m.Świnoujście",2018,37
"2661",201000,"Powiat bolesławiecki",2019,NA
"2662",202000,"Powiat dzierżoniowski",2019,NA
"2663",203000,"Powiat głogowski",2019,NA
"2664",204000,"Powiat górowski",2019,NA
"2665",205000,"Powiat jaworski",2019,NA
"2666",206000,"Powiat jeleniogórski",2019,NA
"2667",207000,"Powiat kamiennogórski",2019,NA
"2668",208000,"Powiat kłodzki",2019,NA
"2669",209000,"Powiat legnicki",2019,NA
"2670",210000,"Powiat lubański",2019,NA
"2671",211000,"Powiat lubiński",2019,NA
"2672",212000,"Powiat lwówecki",2019,NA
"2673",213000,"Powiat milicki",2019,NA
"2674",214000,"Powiat oleśnicki",2019,NA
"2675",215000,"Powiat oławski",2019,NA
"2676",216000,"Powiat polkowicki",2019,NA
"2677",217000,"Powiat strzeliński",2019,NA
"2678",218000,"Powiat średzki",2019,NA
"2679",219000,"Powiat świdnicki",2019,NA
"2680",220000,"Powiat trzebnicki",2019,NA
"2681",221000,"Powiat wałbrzyski",2019,NA
"2682",222000,"Powiat wołowski",2019,NA
"2683",223000,"Powiat wrocławski",2019,NA
"2684",224000,"Powiat ząbkowicki",2019,NA
"2685",225000,"Powiat zgorzelecki",2019,NA
"2686",226000,"Powiat złotoryjski",2019,NA
"2687",261000,"Powiat m.Jelenia Góra",2019,NA
"2688",262000,"Powiat m.Legnica",2019,NA
"2689",264000,"Powiat m.Wrocław",2019,NA
"2690",265000,"Powiat m.Wałbrzych od 2013",2019,NA
"2691",401000,"Powiat aleksandrowski",2019,NA
"2692",402000,"Powiat brodnicki",2019,NA
"2693",403000,"Powiat bydgoski",2019,NA
"2694",404000,"Powiat chełmiński",2019,NA
"2695",405000,"Powiat golubsko-dobrzyński",2019,NA
"2696",406000,"Powiat grudziądzki",2019,NA
"2697",407000,"Powiat inowrocławski",2019,NA
"2698",408000,"Powiat lipnowski",2019,NA
"2699",409000,"Powiat mogileński",2019,NA
"2700",410000,"Powiat nakielski",2019,NA
"2701",411000,"Powiat radziejowski",2019,NA
"2702",412000,"Powiat rypiński",2019,NA
"2703",413000,"Powiat sępoleński",2019,NA
"2704",414000,"Powiat świecki",2019,NA
"2705",415000,"Powiat toruński",2019,NA
"2706",416000,"Powiat tucholski",2019,NA
"2707",417000,"Powiat wąbrzeski",2019,NA
"2708",418000,"Powiat włocławski",2019,NA
"2709",419000,"Powiat żniński",2019,NA
"2710",461000,"Powiat m.Bydgoszcz",2019,NA
"2711",462000,"Powiat m.Grudziądz",2019,NA
"2712",463000,"Powiat m.Toruń",2019,NA
"2713",464000,"Powiat m.Włocławek",2019,NA
"2714",601000,"Powiat bialski",2019,NA
"2715",602000,"Powiat biłgorajski",2019,NA
"2716",603000,"Powiat chełmski",2019,NA
"2717",604000,"Powiat hrubieszowski",2019,NA
"2718",605000,"Powiat janowski",2019,NA
"2719",606000,"Powiat krasnostawski",2019,NA
"2720",607000,"Powiat kraśnicki",2019,NA
"2721",608000,"Powiat lubartowski",2019,NA
"2722",609000,"Powiat lubelski",2019,NA
"2723",610000,"Powiat łęczyński",2019,NA
"2724",611000,"Powiat łukowski",2019,NA
"2725",612000,"Powiat opolski",2019,NA
"2726",613000,"Powiat parczewski",2019,NA
"2727",614000,"Powiat puławski",2019,NA
"2728",615000,"Powiat radzyński",2019,NA
"2729",616000,"Powiat rycki",2019,NA
"2730",617000,"Powiat świdnicki",2019,NA
"2731",618000,"Powiat tomaszowski",2019,NA
"2732",619000,"Powiat włodawski",2019,NA
"2733",620000,"Powiat zamojski",2019,NA
"2734",661000,"Powiat m.Biała Podlaska",2019,NA
"2735",662000,"Powiat m.Chełm",2019,NA
"2736",663000,"Powiat m.Lublin",2019,NA
"2737",664000,"Powiat m.Zamość",2019,NA
"2738",801000,"Powiat gorzowski",2019,NA
"2739",802000,"Powiat krośnieński",2019,NA
"2740",803000,"Powiat międzyrzecki",2019,NA
"2741",804000,"Powiat nowosolski",2019,NA
"2742",805000,"Powiat słubicki",2019,NA
"2743",806000,"Powiat strzelecko-drezdenecki",2019,NA
"2744",807000,"Powiat sulęciński",2019,NA
"2745",808000,"Powiat świebodziński",2019,NA
"2746",809000,"Powiat zielonogórski",2019,NA
"2747",810000,"Powiat żagański",2019,NA
"2748",811000,"Powiat żarski",2019,NA
"2749",812000,"Powiat wschowski",2019,NA
"2750",861000,"Powiat m.Gorzów Wielkopolski",2019,NA
"2751",862000,"Powiat m.Zielona Góra",2019,NA
"2752",1001000,"Powiat bełchatowski",2019,NA
"2753",1002000,"Powiat kutnowski",2019,NA
"2754",1003000,"Powiat łaski",2019,NA
"2755",1004000,"Powiat łęczycki",2019,NA
"2756",1005000,"Powiat łowicki",2019,NA
"2757",1006000,"Powiat łódzki wschodni",2019,NA
"2758",1007000,"Powiat opoczyński",2019,NA
"2759",1008000,"Powiat pabianicki",2019,NA
"2760",1009000,"Powiat pajęczański",2019,NA
"2761",1010000,"Powiat piotrkowski",2019,NA
"2762",1011000,"Powiat poddębicki",2019,NA
"2763",1012000,"Powiat radomszczański",2019,NA
"2764",1013000,"Powiat rawski",2019,NA
"2765",1014000,"Powiat sieradzki",2019,NA
"2766",1015000,"Powiat skierniewicki",2019,NA
"2767",1016000,"Powiat tomaszowski",2019,NA
"2768",1017000,"Powiat wieluński",2019,NA
"2769",1018000,"Powiat wieruszowski",2019,NA
"2770",1019000,"Powiat zduńskowolski",2019,NA
"2771",1020000,"Powiat zgierski",2019,NA
"2772",1021000,"Powiat brzeziński",2019,NA
"2773",1061000,"Powiat m.Łódź",2019,NA
"2774",1062000,"Powiat m.Piotrków Trybunalski",2019,NA
"2775",1063000,"Powiat m.Skierniewice",2019,NA
"2776",1201000,"Powiat bocheński",2019,NA
"2777",1202000,"Powiat brzeski",2019,NA
"2778",1203000,"Powiat chrzanowski",2019,NA
"2779",1204000,"Powiat dąbrowski",2019,NA
"2780",1205000,"Powiat gorlicki",2019,NA
"2781",1206000,"Powiat krakowski",2019,NA
"2782",1207000,"Powiat limanowski",2019,NA
"2783",1208000,"Powiat miechowski",2019,NA
"2784",1209000,"Powiat myślenicki",2019,NA
"2785",1210000,"Powiat nowosądecki",2019,NA
"2786",1211000,"Powiat nowotarski",2019,NA
"2787",1212000,"Powiat olkuski",2019,NA
"2788",1213000,"Powiat oświęcimski",2019,NA
"2789",1214000,"Powiat proszowicki",2019,NA
"2790",1215000,"Powiat suski",2019,NA
"2791",1216000,"Powiat tarnowski",2019,NA
"2792",1217000,"Powiat tatrzański",2019,NA
"2793",1218000,"Powiat wadowicki",2019,NA
"2794",1219000,"Powiat wielicki",2019,NA
"2795",1261000,"Powiat m.Kraków",2019,NA
"2796",1262000,"Powiat m.Nowy Sącz",2019,NA
"2797",1263000,"Powiat m.Tarnów",2019,NA
"2798",1401000,"Powiat białobrzeski",2019,NA
"2799",1402000,"Powiat ciechanowski",2019,NA
"2800",1403000,"Powiat garwoliński",2019,NA
"2801",1404000,"Powiat gostyniński",2019,NA
"2802",1405000,"Powiat grodziski",2019,NA
"2803",1406000,"Powiat grójecki",2019,NA
"2804",1407000,"Powiat kozienicki",2019,NA
"2805",1408000,"Powiat legionowski",2019,NA
"2806",1409000,"Powiat lipski",2019,NA
"2807",1410000,"Powiat łosicki",2019,NA
"2808",1411000,"Powiat makowski",2019,NA
"2809",1412000,"Powiat miński",2019,NA
"2810",1413000,"Powiat mławski",2019,NA
"2811",1414000,"Powiat nowodworski",2019,NA
"2812",1415000,"Powiat ostrołęcki",2019,NA
"2813",1416000,"Powiat ostrowski",2019,NA
"2814",1417000,"Powiat otwocki",2019,NA
"2815",1418000,"Powiat piaseczyński",2019,NA
"2816",1419000,"Powiat płocki",2019,NA
"2817",1420000,"Powiat płoński",2019,NA
"2818",1421000,"Powiat pruszkowski",2019,NA
"2819",1422000,"Powiat przasnyski",2019,NA
"2820",1423000,"Powiat przysuski",2019,NA
"2821",1424000,"Powiat pułtuski",2019,NA
"2822",1425000,"Powiat radomski",2019,NA
"2823",1426000,"Powiat siedlecki",2019,NA
"2824",1427000,"Powiat sierpecki",2019,NA
"2825",1428000,"Powiat sochaczewski",2019,NA
"2826",1429000,"Powiat sokołowski",2019,NA
"2827",1430000,"Powiat szydłowiecki",2019,NA
"2828",1432000,"Powiat warszawski zachodni",2019,NA
"2829",1433000,"Powiat węgrowski",2019,NA
"2830",1434000,"Powiat wołomiński",2019,NA
"2831",1435000,"Powiat wyszkowski",2019,NA
"2832",1436000,"Powiat zwoleński",2019,NA
"2833",1437000,"Powiat żuromiński",2019,NA
"2834",1438000,"Powiat żyrardowski",2019,NA
"2835",1461000,"Powiat m.Ostrołęka",2019,NA
"2836",1462000,"Powiat m.Płock",2019,NA
"2837",1463000,"Powiat m.Radom",2019,NA
"2838",1464000,"Powiat m.Siedlce",2019,NA
"2839",1465000,"Powiat m. st. Warszawa",2019,NA
"2840",1601000,"Powiat brzeski",2019,NA
"2841",1602000,"Powiat głubczycki",2019,NA
"2842",1603000,"Powiat kędzierzyńsko-kozielski",2019,NA
"2843",1604000,"Powiat kluczborski",2019,NA
"2844",1605000,"Powiat krapkowicki",2019,NA
"2845",1606000,"Powiat namysłowski",2019,NA
"2846",1607000,"Powiat nyski",2019,NA
"2847",1608000,"Powiat oleski",2019,NA
"2848",1609000,"Powiat opolski",2019,NA
"2849",1610000,"Powiat prudnicki",2019,NA
"2850",1611000,"Powiat strzelecki",2019,NA
"2851",1661000,"Powiat m.Opole",2019,NA
"2852",1801000,"Powiat bieszczadzki",2019,NA
"2853",1802000,"Powiat brzozowski",2019,NA
"2854",1803000,"Powiat dębicki",2019,NA
"2855",1804000,"Powiat jarosławski",2019,NA
"2856",1805000,"Powiat jasielski",2019,NA
"2857",1806000,"Powiat kolbuszowski",2019,NA
"2858",1807000,"Powiat krośnieński",2019,NA
"2859",1808000,"Powiat leżajski",2019,NA
"2860",1809000,"Powiat lubaczowski",2019,NA
"2861",1810000,"Powiat łańcucki",2019,NA
"2862",1811000,"Powiat mielecki",2019,NA
"2863",1812000,"Powiat niżański",2019,NA
"2864",1813000,"Powiat przemyski",2019,NA
"2865",1814000,"Powiat przeworski",2019,NA
"2866",1815000,"Powiat ropczycko-sędziszowski",2019,NA
"2867",1816000,"Powiat rzeszowski",2019,NA
"2868",1817000,"Powiat sanocki",2019,NA
"2869",1818000,"Powiat stalowowolski",2019,NA
"2870",1819000,"Powiat strzyżowski",2019,NA
"2871",1820000,"Powiat tarnobrzeski",2019,NA
"2872",1821000,"Powiat leski",2019,NA
"2873",1861000,"Powiat m.Krosno",2019,NA
"2874",1862000,"Powiat m.Przemyśl",2019,NA
"2875",1863000,"Powiat m.Rzeszów",2019,NA
"2876",1864000,"Powiat m.Tarnobrzeg",2019,NA
"2877",2001000,"Powiat augustowski",2019,NA
"2878",2002000,"Powiat białostocki",2019,NA
"2879",2003000,"Powiat bielski",2019,NA
"2880",2004000,"Powiat grajewski",2019,NA
"2881",2005000,"Powiat hajnowski",2019,NA
"2882",2006000,"Powiat kolneński",2019,NA
"2883",2007000,"Powiat łomżyński",2019,NA
"2884",2008000,"Powiat moniecki",2019,NA
"2885",2009000,"Powiat sejneński",2019,NA
"2886",2010000,"Powiat siemiatycki",2019,NA
"2887",2011000,"Powiat sokólski",2019,NA
"2888",2012000,"Powiat suwalski",2019,NA
"2889",2013000,"Powiat wysokomazowiecki",2019,NA
"2890",2014000,"Powiat zambrowski",2019,NA
"2891",2061000,"Powiat m.Białystok",2019,NA
"2892",2062000,"Powiat m.Łomża",2019,NA
"2893",2063000,"Powiat m.Suwałki",2019,NA
"2894",2201000,"Powiat bytowski",2019,NA
"2895",2202000,"Powiat chojnicki",2019,NA
"2896",2203000,"Powiat człuchowski",2019,NA
"2897",2204000,"Powiat gdański",2019,NA
"2898",2205000,"Powiat kartuski",2019,NA
"2899",2206000,"Powiat kościerski",2019,NA
"2900",2207000,"Powiat kwidzyński",2019,NA
"2901",2208000,"Powiat lęborski",2019,NA
"2902",2209000,"Powiat malborski",2019,NA
"2903",2210000,"Powiat nowodworski",2019,NA
"2904",2211000,"Powiat pucki",2019,NA
"2905",2212000,"Powiat słupski",2019,NA
"2906",2213000,"Powiat starogardzki",2019,NA
"2907",2214000,"Powiat tczewski",2019,NA
"2908",2215000,"Powiat wejherowski",2019,NA
"2909",2216000,"Powiat sztumski",2019,NA
"2910",2261000,"Powiat m.Gdańsk",2019,NA
"2911",2262000,"Powiat m.Gdynia",2019,NA
"2912",2263000,"Powiat m.Słupsk",2019,NA
"2913",2264000,"Powiat m.Sopot",2019,NA
"2914",2401000,"Powiat będziński",2019,NA
"2915",2402000,"Powiat bielski",2019,NA
"2916",2403000,"Powiat cieszyński",2019,NA
"2917",2404000,"Powiat częstochowski",2019,NA
"2918",2405000,"Powiat gliwicki",2019,NA
"2919",2406000,"Powiat kłobucki",2019,NA
"2920",2407000,"Powiat lubliniecki",2019,NA
"2921",2408000,"Powiat mikołowski",2019,NA
"2922",2409000,"Powiat myszkowski",2019,NA
"2923",2410000,"Powiat pszczyński",2019,NA
"2924",2411000,"Powiat raciborski",2019,NA
"2925",2412000,"Powiat rybnicki",2019,NA
"2926",2413000,"Powiat tarnogórski",2019,NA
"2927",2414000,"Powiat bieruńsko-lędziński",2019,NA
"2928",2415000,"Powiat wodzisławski",2019,NA
"2929",2416000,"Powiat zawierciański",2019,NA
"2930",2417000,"Powiat żywiecki",2019,NA
"2931",2461000,"Powiat m.Bielsko-Biała",2019,NA
"2932",2462000,"Powiat m.Bytom",2019,NA
"2933",2463000,"Powiat m.Chorzów",2019,NA
"2934",2464000,"Powiat m.Częstochowa",2019,NA
"2935",2465000,"Powiat m.Dąbrowa Górnicza",2019,NA
"2936",2466000,"Powiat m.Gliwice",2019,NA
"2937",2467000,"Powiat m.Jastrzębie-Zdrój",2019,NA
"2938",2468000,"Powiat m.Jaworzno",2019,NA
"2939",2469000,"Powiat m.Katowice",2019,NA
"2940",2470000,"Powiat m.Mysłowice",2019,NA
"2941",2471000,"Powiat m.Piekary Śląskie",2019,NA
"2942",2472000,"Powiat m.Ruda Śląska",2019,NA
"2943",2473000,"Powiat m.Rybnik",2019,NA
"2944",2474000,"Powiat m.Siemianowice Śląskie",2019,NA
"2945",2475000,"Powiat m.Sosnowiec",2019,NA
"2946",2476000,"Powiat m.Świętochłowice",2019,NA
"2947",2477000,"Powiat m.Tychy",2019,NA
"2948",2478000,"Powiat m.Zabrze",2019,NA
"2949",2479000,"Powiat m.Żory",2019,NA
"2950",2601000,"Powiat buski",2019,NA
"2951",2602000,"Powiat jędrzejowski",2019,NA
"2952",2603000,"Powiat kazimierski",2019,NA
"2953",2604000,"Powiat kielecki",2019,NA
"2954",2605000,"Powiat konecki",2019,NA
"2955",2606000,"Powiat opatowski",2019,NA
"2956",2607000,"Powiat ostrowiecki",2019,NA
"2957",2608000,"Powiat pińczowski",2019,NA
"2958",2609000,"Powiat sandomierski",2019,NA
"2959",2610000,"Powiat skarżyski",2019,NA
"2960",2611000,"Powiat starachowicki",2019,NA
"2961",2612000,"Powiat staszowski",2019,NA
"2962",2613000,"Powiat włoszczowski",2019,NA
"2963",2661000,"Powiat m.Kielce",2019,NA
"2964",2801000,"Powiat bartoszycki",2019,NA
"2965",2802000,"Powiat braniewski",2019,NA
"2966",2803000,"Powiat działdowski",2019,NA
"2967",2804000,"Powiat elbląski",2019,NA
"2968",2805000,"Powiat ełcki",2019,NA
"2969",2806000,"Powiat giżycki",2019,NA
"2970",2807000,"Powiat iławski",2019,NA
"2971",2808000,"Powiat kętrzyński",2019,NA
"2972",2809000,"Powiat lidzbarski",2019,NA
"2973",2810000,"Powiat mrągowski",2019,NA
"2974",2811000,"Powiat nidzicki",2019,NA
"2975",2812000,"Powiat nowomiejski",2019,NA
"2976",2813000,"Powiat olecki",2019,NA
"2977",2814000,"Powiat olsztyński",2019,NA
"2978",2815000,"Powiat ostródzki",2019,NA
"2979",2816000,"Powiat piski",2019,NA
"2980",2817000,"Powiat szczycieński",2019,NA
"2981",2818000,"Powiat gołdapski",2019,NA
"2982",2819000,"Powiat węgorzewski",2019,NA
"2983",2861000,"Powiat m.Elbląg",2019,NA
"2984",2862000,"Powiat m.Olsztyn",2019,NA
"2985",3001000,"Powiat chodzieski",2019,NA
"2986",3002000,"Powiat czarnkowsko-trzcianecki",2019,NA
"2987",3003000,"Powiat gnieźnieński",2019,NA
"2988",3004000,"Powiat gostyński",2019,NA
"2989",3005000,"Powiat grodziski",2019,NA
"2990",3006000,"Powiat jarociński",2019,NA
"2991",3007000,"Powiat kaliski",2019,NA
"2992",3008000,"Powiat kępiński",2019,NA
"2993",3009000,"Powiat kolski",2019,NA
"2994",3010000,"Powiat koniński",2019,NA
"2995",3011000,"Powiat kościański",2019,NA
"2996",3012000,"Powiat krotoszyński",2019,NA
"2997",3013000,"Powiat leszczyński",2019,NA
"2998",3014000,"Powiat międzychodzki",2019,NA
"2999",3015000,"Powiat nowotomyski",2019,NA
"3000",3016000,"Powiat obornicki",2019,NA
"3001",3017000,"Powiat ostrowski",2019,NA
"3002",3018000,"Powiat ostrzeszowski",2019,NA
"3003",3019000,"Powiat pilski",2019,NA
"3004",3020000,"Powiat pleszewski",2019,NA
"3005",3021000,"Powiat poznański",2019,NA
"3006",3022000,"Powiat rawicki",2019,NA
"3007",3023000,"Powiat słupecki",2019,NA
"3008",3024000,"Powiat szamotulski",2019,NA
"3009",3025000,"Powiat średzki",2019,NA
"3010",3026000,"Powiat śremski",2019,NA
"3011",3027000,"Powiat turecki",2019,NA
"3012",3028000,"Powiat wągrowiecki",2019,NA
"3013",3029000,"Powiat wolsztyński",2019,NA
"3014",3030000,"Powiat wrzesiński",2019,NA
"3015",3031000,"Powiat złotowski",2019,NA
"3016",3061000,"Powiat m.Kalisz",2019,NA
"3017",3062000,"Powiat m.Konin",2019,NA
"3018",3063000,"Powiat m.Leszno",2019,NA
"3019",3064000,"Powiat m.Poznań",2019,NA
"3020",3201000,"Powiat białogardzki",2019,NA
"3021",3202000,"Powiat choszczeński",2019,NA
"3022",3203000,"Powiat drawski",2019,NA
"3023",3204000,"Powiat goleniowski",2019,NA
"3024",3205000,"Powiat gryficki",2019,NA
"3025",3206000,"Powiat gryfiński",2019,NA
"3026",3207000,"Powiat kamieński",2019,NA
"3027",3208000,"Powiat kołobrzeski",2019,NA
"3028",3209000,"Powiat koszaliński",2019,NA
"3029",3210000,"Powiat myśliborski",2019,NA
"3030",3211000,"Powiat policki",2019,NA
"3031",3212000,"Powiat pyrzycki",2019,NA
"3032",3213000,"Powiat sławieński",2019,NA
"3033",3214000,"Powiat stargardzki",2019,NA
"3034",3215000,"Powiat szczecinecki",2019,NA
"3035",3216000,"Powiat świdwiński",2019,NA
"3036",3217000,"Powiat wałecki",2019,NA
"3037",3218000,"Powiat łobeski",2019,NA
"3038",3261000,"Powiat m.Koszalin",2019,NA
"3039",3262000,"Powiat m.Szczecin",2019,NA
"3040",3263000,"Powiat m.Świnoujście",2019,NA
