"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezrobocie"
"8073",1002000,"Powiat kutnowski",2015,2326
"8074",1003000,"Powiat łaski",2015,704
"8075",1004000,"Powiat łęczycki",2015,1343
"8076",1005000,"Powiat łowicki",2015,960
"8077",1006000,"Powiat łódzki wschodni",2015,841
"8078",1007000,"Powiat opoczyński",2015,1660
"8079",1008000,"Powiat pabianicki",2015,1522
"8080",1009000,"Powiat pajęczański",2015,698
"8081",1010000,"Powiat piotrkowski",2015,1325
"8082",1011000,"Powiat poddębicki",2015,780
"8083",1012000,"Powiat radomszczański",2015,2251
"8084",1013000,"Powiat rawski",2015,504
"8085",1014000,"Powiat sieradzki",2015,1808
"8086",1015000,"Powiat skierniewicki",2015,421
"8087",1016000,"Powiat tomaszowski",2015,2272
"8088",1017000,"Powiat wieluński",2015,897
"8089",1018000,"Powiat wieruszowski",2015,450
"8090",1019000,"Powiat zduńskowolski",2015,1184
"8091",1020000,"Powiat zgierski",2015,2869
"8092",1021000,"Powiat brzeziński",2015,509
"8093",1061000,"Powiat m.Łódź",2015,13703
"8094",1062000,"Powiat m.Piotrków Trybunalski",2015,2087
"8095",1063000,"Powiat m.Skierniewice",2015,593
"8096",1201000,"Powiat bocheński",2015,691
"8097",1202000,"Powiat brzeski",2015,821
"8098",1203000,"Powiat chrzanowski",2015,1769
"8099",1204000,"Powiat dąbrowski",2015,940
"8100",1205000,"Powiat gorlicki",2015,1513
"8101",1206000,"Powiat krakowski",2015,1356
"8102",1207000,"Powiat limanowski",2015,1859
"8103",1208000,"Powiat miechowski",2015,455
"8104",1209000,"Powiat myślenicki",2015,844
"8105",1210000,"Powiat nowosądecki",2015,2477
"8106",1211000,"Powiat nowotarski",2015,1101
"8107",1212000,"Powiat olkuski",2015,1262
"8108",1213000,"Powiat oświęcimski",2015,1245
"8109",1214000,"Powiat proszowicki",2015,339
"8110",1215000,"Powiat suski",2015,901
"8111",1216000,"Powiat tarnowski",2015,2099
"8112",1217000,"Powiat tatrzański",2015,470
"8113",1218000,"Powiat wadowicki",2015,1281
"8114",1219000,"Powiat wielicki",2015,891
"8115",1261000,"Powiat m.Kraków",2015,5452
"8116",1262000,"Powiat m.Nowy Sącz",2015,1207
"8117",1263000,"Powiat m.Tarnów",2015,1398
"8118",1401000,"Powiat białobrzeski",2015,633
"8119",1402000,"Powiat ciechanowski",2015,1595
"8120",1403000,"Powiat garwoliński",2015,1120
"8121",1404000,"Powiat gostyniński",2015,937
"8122",1405000,"Powiat grodziski",2015,781
"8123",1406000,"Powiat grójecki",2015,698
"8124",1407000,"Powiat kozienicki",2015,1142
"8125",1408000,"Powiat legionowski",2015,1141
"8126",1409000,"Powiat lipski",2015,816
"8127",1410000,"Powiat łosicki",2015,490
"8128",1411000,"Powiat makowski",2015,1116
"8129",1412000,"Powiat miński",2015,1315
"8130",1413000,"Powiat mławski",2015,1191
"8131",1414000,"Powiat nowodworski",2015,1195
"8132",1415000,"Powiat ostrołęcki",2015,1188
"8133",1416000,"Powiat ostrowski",2015,1207
"8134",1417000,"Powiat otwocki",2015,815
"8135",1418000,"Powiat piaseczyński",2015,1059
"8136",1419000,"Powiat płocki",2015,2249
"8137",1420000,"Powiat płoński",2015,1531
"8138",1421000,"Powiat pruszkowski",2015,782
"8139",1422000,"Powiat przasnyski",2015,1129
"8140",1423000,"Powiat przysuski",2015,797
"8141",1424000,"Powiat pułtuski",2015,1001
"8142",1425000,"Powiat radomski",2015,2913
"8143",1426000,"Powiat siedlecki",2015,917
"8144",1427000,"Powiat sierpecki",2015,1331
"8145",1428000,"Powiat sochaczewski",2015,1136
"8146",1429000,"Powiat sokołowski",2015,640
"8147",1430000,"Powiat szydłowiecki",2015,1340
"8148",1432000,"Powiat warszawski zachodni",2015,508
"8149",1433000,"Powiat węgrowski",2015,931
"8150",1434000,"Powiat wołomiński",2015,2107
"8151",1435000,"Powiat wyszkowski",2015,778
"8152",1436000,"Powiat zwoleński",2015,974
"8153",1437000,"Powiat żuromiński",2015,709
"8154",1438000,"Powiat żyrardowski",2015,874
"8155",1461000,"Powiat m.Ostrołęka",2015,1315
"8156",1462000,"Powiat m.Płock",2015,2823
"8157",1463000,"Powiat m.Radom",2015,5964
"8158",1464000,"Powiat m.Siedlce",2015,1188
"8159",1465000,"Powiat m. st. Warszawa",2015,7940
"8160",1601000,"Powiat brzeski",2015,1575
"8161",1602000,"Powiat głubczycki",2015,1181
"8162",1603000,"Powiat kędzierzyńsko-kozielski",2015,1601
"8163",1604000,"Powiat kluczborski",2015,1010
"8164",1605000,"Powiat krapkowicki",2015,754
"8165",1606000,"Powiat namysłowski",2015,761
"8166",1607000,"Powiat nyski",2015,2943
"8167",1608000,"Powiat oleski",2015,590
"8168",1609000,"Powiat opolski",2015,1400
"8169",1610000,"Powiat prudnicki",2015,1278
"8170",1611000,"Powiat strzelecki",2015,662
"8171",1661000,"Powiat m.Opole",2015,841
"8172",1801000,"Powiat bieszczadzki",2015,561
"8173",1802000,"Powiat brzozowski",2015,1712
"8174",1803000,"Powiat dębicki",2015,2925
"8175",1804000,"Powiat jarosławski",2015,2342
"8176",1805000,"Powiat jasielski",2015,2923
"8177",1806000,"Powiat kolbuszowski",2015,1038
"8178",1807000,"Powiat krośnieński",2015,1924
"8179",1808000,"Powiat leżajski",2015,1503
"8180",1809000,"Powiat lubaczowski",2015,1114
"8181",1810000,"Powiat łańcucki",2015,1428
"8182",1811000,"Powiat mielecki",2015,1417
"8183",1812000,"Powiat niżański",2015,1357
"8184",1813000,"Powiat przemyski",2015,2272
"8185",1814000,"Powiat przeworski",2015,1663
"8186",1815000,"Powiat ropczycko-sędziszowski",2015,1080
"8187",1816000,"Powiat rzeszowski",2015,2614
"8188",1817000,"Powiat sanocki",2015,1548
"8189",1818000,"Powiat stalowowolski",2015,1496
"8190",1819000,"Powiat strzyżowski",2015,1465
"8191",1820000,"Powiat tarnobrzeski",2015,936
"8192",1821000,"Powiat leski",2015,609
"8193",1861000,"Powiat m.Krosno",2015,835
"8194",1862000,"Powiat m.Przemyśl",2015,1718
"8195",1863000,"Powiat m.Rzeszów",2015,2177
"8196",1864000,"Powiat m.Tarnobrzeg",2015,767
"8197",2001000,"Powiat augustowski",2015,1256
"8198",2002000,"Powiat białostocki",2015,3161
"8199",2003000,"Powiat bielski",2015,891
"8200",2004000,"Powiat grajewski",2015,1302
"8201",2005000,"Powiat hajnowski",2015,1315
"8202",2006000,"Powiat kolneński",2015,706
"8203",2007000,"Powiat łomżyński",2015,654
"8204",2008000,"Powiat moniecki",2015,732
"8205",2009000,"Powiat sejneński",2015,575
"8206",2010000,"Powiat siemiatycki",2015,1017
"8207",2011000,"Powiat sokólski",2015,1842
"8208",2012000,"Powiat suwalski",2015,357
"8209",2013000,"Powiat wysokomazowiecki",2015,549
"8210",2014000,"Powiat zambrowski",2015,855
"8211",2061000,"Powiat m.Białystok",2015,5103
"8212",2062000,"Powiat m.Łomża",2015,939
"8213",2063000,"Powiat m.Suwałki",2015,1224
"8214",2201000,"Powiat bytowski",2015,1781
"8215",2202000,"Powiat chojnicki",2015,2091
"8216",2203000,"Powiat człuchowski",2015,1554
"8217",2204000,"Powiat gdański",2015,862
"8218",2205000,"Powiat kartuski",2015,886
"8219",2206000,"Powiat kościerski",2015,1160
"8220",2207000,"Powiat kwidzyński",2015,2131
"8221",2208000,"Powiat lęborski",2015,1377
"8222",2209000,"Powiat malborski",2015,1532
"8223",2210000,"Powiat nowodworski",2015,1028
"8224",2211000,"Powiat pucki",2015,831
"8225",2212000,"Powiat słupski",2015,2534
"8226",2213000,"Powiat starogardzki",2015,2583
"8227",2214000,"Powiat tczewski",2015,1794
"8228",2215000,"Powiat wejherowski",2015,2161
"8229",2216000,"Powiat sztumski",2015,1158
"8230",2261000,"Powiat m.Gdańsk",2015,1766
"8231",2262000,"Powiat m.Gdynia",2015,1041
"8232",2263000,"Powiat m.Słupsk",2015,1786
"8233",2264000,"Powiat m.Sopot",2015,177
"8234",2401000,"Powiat będziński",2015,2352
"8235",2402000,"Powiat bielski",2015,1114
"8236",2403000,"Powiat cieszyński",2015,1756
"8237",2404000,"Powiat częstochowski",2015,1767
"8238",2405000,"Powiat gliwicki",2015,898
"8239",2406000,"Powiat kłobucki",2015,963
"8240",2407000,"Powiat lubliniecki",2015,843
"8241",2408000,"Powiat mikołowski",2015,848
"8242",2409000,"Powiat myszkowski",2015,1090
"8243",2410000,"Powiat pszczyński",2015,849
"8244",2411000,"Powiat raciborski",2015,792
"8245",2412000,"Powiat rybnicki",2015,619
"8246",2413000,"Powiat tarnogórski",2015,1580
"8247",2414000,"Powiat bieruńsko-lędziński",2015,364
"8248",2415000,"Powiat wodzisławski",2015,1314
"8249",2416000,"Powiat zawierciański",2015,2070
"8250",2417000,"Powiat żywiecki",2015,1742
"8251",2461000,"Powiat m.Bielsko-Biała",2015,998
"8252",2462000,"Powiat m.Bytom",2015,4313
"8253",2463000,"Powiat m.Chorzów",2015,2392
"8254",2464000,"Powiat m.Częstochowa",2015,3175
"8255",2465000,"Powiat m.Dąbrowa Górnicza",2015,1316
"8256",2466000,"Powiat m.Gliwice",2015,1739
"8257",2467000,"Powiat m.Jastrzębie-Zdrój",2015,1272
"8258",2468000,"Powiat m.Jaworzno",2015,566
"8259",2469000,"Powiat m.Katowice",2015,3116
"8260",2470000,"Powiat m.Mysłowice",2015,774
"8261",2471000,"Powiat m.Piekary Śląskie",2015,721
"8262",2472000,"Powiat m.Ruda Śląska",2015,1584
"8263",2473000,"Powiat m.Rybnik",2015,1418
"8264",2474000,"Powiat m.Siemianowice Śląskie",2015,1480
"8265",2475000,"Powiat m.Sosnowiec",2015,3010
"8266",2476000,"Powiat m.Świętochłowice",2015,697
"8267",2477000,"Powiat m.Tychy",2015,903
"8268",2478000,"Powiat m.Zabrze",2015,2878
"8269",2479000,"Powiat m.Żory",2015,311
"8270",2601000,"Powiat buski",2015,924
"8271",2602000,"Powiat jędrzejowski",2015,1458
"8272",2603000,"Powiat kazimierski",2015,533
"8273",2604000,"Powiat kielecki",2015,4026
"8274",2605000,"Powiat konecki",2015,2082
"8275",2606000,"Powiat opatowski",2015,1252
"8276",2607000,"Powiat ostrowiecki",2015,2193
"8277",2608000,"Powiat pińczowski",2015,459
"8278",2609000,"Powiat sandomierski",2015,1317
"8279",2610000,"Powiat skarżyski",2015,1964
"8280",2611000,"Powiat starachowicki",2015,2216
"8281",2612000,"Powiat staszowski",2015,1327
"8282",2613000,"Powiat włoszczowski",2015,694
"8283",2661000,"Powiat m.Kielce",2015,3575
"8284",2801000,"Powiat bartoszycki",2015,2898
"8285",2802000,"Powiat braniewski",2015,1607
"8286",2803000,"Powiat działdowski",2015,1685
"8287",2804000,"Powiat elbląski",2015,2690
"8288",2805000,"Powiat ełcki",2015,2319
"8289",2806000,"Powiat giżycki",2015,1754
"8290",2807000,"Powiat iławski",2015,1901
"8291",2808000,"Powiat kętrzyński",2015,3379
"8292",2809000,"Powiat lidzbarski",2015,1351
"8293",2810000,"Powiat mrągowski",2015,1860
"8294",2811000,"Powiat nidzicki",2015,767
"8295",2812000,"Powiat nowomiejski",2015,1346
"8296",2813000,"Powiat olecki",2015,1100
"8297",2814000,"Powiat olsztyński",2015,3040
"8298",2815000,"Powiat ostródzki",2015,3321
"8299",2816000,"Powiat piski",2015,2196
"8300",2817000,"Powiat szczycieński",2015,2060
"8301",2818000,"Powiat gołdapski",2015,770
"8302",2819000,"Powiat węgorzewski",2015,712
"8303",2861000,"Powiat m.Elbląg",2015,2653
"8304",2862000,"Powiat m.Olsztyn",2015,2850
"8305",3001000,"Powiat chodzieski",2015,845
"8306",3002000,"Powiat czarnkowsko-trzcianecki",2015,1482
"8307",3003000,"Powiat gnieźnieński",2015,2088
"8308",3004000,"Powiat gostyński",2015,930
"8309",3005000,"Powiat grodziski",2015,392
"8310",3006000,"Powiat jarociński",2015,758
"8311",3007000,"Powiat kaliski",2015,546
"8312",3008000,"Powiat kępiński",2015,369
"8313",3009000,"Powiat kolski",2015,1481
"8314",3010000,"Powiat koniński",2015,1857
"8315",3011000,"Powiat kościański",2015,661
"8316",3012000,"Powiat krotoszyński",2015,875
"8317",3013000,"Powiat leszczyński",2015,314
"8318",3014000,"Powiat międzychodzki",2015,358
"8319",3015000,"Powiat nowotomyski",2015,430
"8320",3016000,"Powiat obornicki",2015,715
"8321",3017000,"Powiat ostrowski",2015,1687
"8322",3018000,"Powiat ostrzeszowski",2015,538
"8323",3019000,"Powiat pilski",2015,2468
"8324",3020000,"Powiat pleszewski",2015,723
"8325",3021000,"Powiat poznański",2015,1539
"8326",3022000,"Powiat rawicki",2015,733
"8327",3023000,"Powiat słupecki",2015,891
"8328",3024000,"Powiat szamotulski",2015,758
"8329",3025000,"Powiat średzki",2015,883
"8330",3026000,"Powiat śremski",2015,498
"8331",3027000,"Powiat turecki",2015,1005
"8332",3028000,"Powiat wągrowiecki",2015,1017
"8333",3029000,"Powiat wolsztyński",2015,338
"8334",3030000,"Powiat wrzesiński",2015,834
"8335",3031000,"Powiat złotowski",2015,1888
"8336",3061000,"Powiat m.Kalisz",2015,2245
"8337",3062000,"Powiat m.Konin",2015,2173
"8338",3063000,"Powiat m.Leszno",2015,882
"8339",3064000,"Powiat m.Poznań",2015,3535
"8340",3201000,"Powiat białogardzki",2015,1745
"8341",3202000,"Powiat choszczeński",2015,1500
"8342",3203000,"Powiat drawski",2015,1823
"8343",3204000,"Powiat goleniowski",2015,1090
"8344",3205000,"Powiat gryficki",2015,1428
"8345",3206000,"Powiat gryfiński",2015,1358
"8346",3207000,"Powiat kamieński",2015,803
"8347",3208000,"Powiat kołobrzeski",2015,900
"8348",3209000,"Powiat koszaliński",2015,1638
"8349",3210000,"Powiat myśliborski",2015,1170
"8350",3211000,"Powiat policki",2015,879
"8351",3212000,"Powiat pyrzycki",2015,1006
"8352",3213000,"Powiat sławieński",2015,1224
"8353",3214000,"Powiat stargardzki",2015,2177
"8354",3215000,"Powiat szczecinecki",2015,2111
"8355",3216000,"Powiat świdwiński",2015,1842
"8356",3217000,"Powiat wałecki",2015,1304
"8357",3218000,"Powiat łobeski",2015,1152
"8358",3261000,"Powiat m.Koszalin",2015,1339
"8359",3262000,"Powiat m.Szczecin",2015,4602
"8360",3263000,"Powiat m.Świnoujście",2015,271
"8361",201000,"Powiat bolesławiecki",2016,783
"8362",202000,"Powiat dzierżoniowski",2016,1114
"8363",203000,"Powiat głogowski",2016,773
"8364",204000,"Powiat górowski",2016,1078
"8365",205000,"Powiat jaworski",2016,1045
"8366",206000,"Powiat jeleniogórski",2016,1162
"8367",207000,"Powiat kamiennogórski",2016,702
"8368",208000,"Powiat kłodzki",2016,3101
"8369",209000,"Powiat legnicki",2016,1032
"8370",210000,"Powiat lubański",2016,845
"8371",211000,"Powiat lubiński",2016,574
"8372",212000,"Powiat lwówecki",2016,900
"8373",213000,"Powiat milicki",2016,488
"8374",214000,"Powiat oleśnicki",2016,821
"8375",215000,"Powiat oławski",2016,480
"8376",216000,"Powiat polkowicki",2016,1007
"8377",217000,"Powiat strzeliński",2016,744
"8378",218000,"Powiat średzki",2016,368
"8379",219000,"Powiat świdnicki",2016,2267
"8380",220000,"Powiat trzebnicki",2016,703
"8381",221000,"Powiat wałbrzyski",2016,1129
"8382",222000,"Powiat wołowski",2016,743
"8383",223000,"Powiat wrocławski",2016,516
"8384",224000,"Powiat ząbkowicki",2016,1343
"8385",225000,"Powiat zgorzelecki",2016,1343
"8386",226000,"Powiat złotoryjski",2016,1215
"8387",261000,"Powiat m.Jelenia Góra",2016,857
"8388",262000,"Powiat m.Legnica",2016,1129
"8389",264000,"Powiat m.Wrocław",2016,2646
"8390",265000,"Powiat m.Wałbrzych od 2013",2016,2187
"8391",401000,"Powiat aleksandrowski",2016,1907
"8392",402000,"Powiat brodnicki",2016,1578
"8393",403000,"Powiat bydgoski",2016,1391
"8394",404000,"Powiat chełmiński",2016,1276
"8395",405000,"Powiat golubsko-dobrzyński",2016,1214
"8396",406000,"Powiat grudziądzki",2016,1506
"8397",407000,"Powiat inowrocławski",2016,3577
"8398",408000,"Powiat lipnowski",2016,3570
"8399",409000,"Powiat mogileński",2016,904
"8400",410000,"Powiat nakielski",2016,2119
"8401",411000,"Powiat radziejowski",2016,1135
"8402",412000,"Powiat rypiński",2016,1357
"8403",413000,"Powiat sępoleński",2016,732
"8404",414000,"Powiat świecki",2016,1908
"8405",415000,"Powiat toruński",2016,1977
"8406",416000,"Powiat tucholski",2016,927
"8407",417000,"Powiat wąbrzeski",2016,903
"8408",418000,"Powiat włocławski",2016,3671
"8409",419000,"Powiat żniński",2016,1799
"8410",461000,"Powiat m.Bydgoszcz",2016,2255
"8411",462000,"Powiat m.Grudziądz",2016,2717
"8412",463000,"Powiat m.Toruń",2016,2245
"8413",464000,"Powiat m.Włocławek",2016,4918
"8414",601000,"Powiat bialski",2016,1861
"8415",602000,"Powiat biłgorajski",2016,971
"8416",603000,"Powiat chełmski",2016,1839
"8417",604000,"Powiat hrubieszowski",2016,1269
"8418",605000,"Powiat janowski",2016,732
"8419",606000,"Powiat krasnostawski",2016,1358
"8420",607000,"Powiat kraśnicki",2016,1467
"8421",608000,"Powiat lubartowski",2016,1650
"8422",609000,"Powiat lubelski",2016,1401
"8423",610000,"Powiat łęczyński",2016,559
"8424",611000,"Powiat łukowski",2016,905
"8425",612000,"Powiat opolski",2016,867
"8426",613000,"Powiat parczewski",2016,849
"8427",614000,"Powiat puławski",2016,1220
"8428",615000,"Powiat radzyński",2016,946
"8429",616000,"Powiat rycki",2016,765
"8430",617000,"Powiat świdnicki",2016,838
"8431",618000,"Powiat tomaszowski",2016,1484
"8432",619000,"Powiat włodawski",2016,964
"8433",620000,"Powiat zamojski",2016,1621
"8434",661000,"Powiat m.Biała Podlaska",2016,608
"8435",662000,"Powiat m.Chełm",2016,1013
"8436",663000,"Powiat m.Lublin",2016,3186
"8437",664000,"Powiat m.Zamość",2016,1260
"8438",801000,"Powiat gorzowski",2016,1004
"8439",802000,"Powiat krośnieński",2016,925
"8440",803000,"Powiat międzyrzecki",2016,1151
"8441",804000,"Powiat nowosolski",2016,1555
"8442",805000,"Powiat słubicki",2016,903
"8443",806000,"Powiat strzelecko-drezdenecki",2016,1677
"8444",807000,"Powiat sulęciński",2016,1127
"8445",808000,"Powiat świebodziński",2016,831
"8446",809000,"Powiat zielonogórski",2016,1111
"8447",810000,"Powiat żagański",2016,1801
"8448",811000,"Powiat żarski",2016,1670
"8449",812000,"Powiat wschowski",2016,710
"8450",861000,"Powiat m.Gorzów Wielkopolski",2016,1314
"8451",862000,"Powiat m.Zielona Góra",2016,1144
"8452",1001000,"Powiat bełchatowski",2016,1919
"8453",1002000,"Powiat kutnowski",2016,2105
"8454",1003000,"Powiat łaski",2016,605
"8455",1004000,"Powiat łęczycki",2016,1227
"8456",1005000,"Powiat łowicki",2016,814
"8457",1006000,"Powiat łódzki wschodni",2016,722
"8458",1007000,"Powiat opoczyński",2016,1164
"8459",1008000,"Powiat pabianicki",2016,1400
"8460",1009000,"Powiat pajęczański",2016,602
"8461",1010000,"Powiat piotrkowski",2016,1223
"8462",1011000,"Powiat poddębicki",2016,628
"8463",1012000,"Powiat radomszczański",2016,1909
"8464",1013000,"Powiat rawski",2016,437
"8465",1014000,"Powiat sieradzki",2016,1578
"8466",1015000,"Powiat skierniewicki",2016,369
"8467",1016000,"Powiat tomaszowski",2016,1921
"8468",1017000,"Powiat wieluński",2016,767
"8469",1018000,"Powiat wieruszowski",2016,381
"8470",1019000,"Powiat zduńskowolski",2016,1048
"8471",1020000,"Powiat zgierski",2016,2385
"8472",1021000,"Powiat brzeziński",2016,416
"8473",1061000,"Powiat m.Łódź",2016,12039
"8474",1062000,"Powiat m.Piotrków Trybunalski",2016,1658
"8475",1063000,"Powiat m.Skierniewice",2016,525
"8476",1201000,"Powiat bocheński",2016,578
"8477",1202000,"Powiat brzeski",2016,739
"8478",1203000,"Powiat chrzanowski",2016,1528
"8479",1204000,"Powiat dąbrowski",2016,850
"8480",1205000,"Powiat gorlicki",2016,1298
"8481",1206000,"Powiat krakowski",2016,1130
"8482",1207000,"Powiat limanowski",2016,1653
"8483",1208000,"Powiat miechowski",2016,404
"8484",1209000,"Powiat myślenicki",2016,639
"8485",1210000,"Powiat nowosądecki",2016,2107
"8486",1211000,"Powiat nowotarski",2016,955
"8487",1212000,"Powiat olkuski",2016,1110
"8488",1213000,"Powiat oświęcimski",2016,1000
"8489",1214000,"Powiat proszowicki",2016,288
"8490",1215000,"Powiat suski",2016,764
"8491",1216000,"Powiat tarnowski",2016,1850
"8492",1217000,"Powiat tatrzański",2016,413
"8493",1218000,"Powiat wadowicki",2016,1105
"8494",1219000,"Powiat wielicki",2016,822
"8495",1261000,"Powiat m.Kraków",2016,5082
"8496",1262000,"Powiat m.Nowy Sącz",2016,1065
"8497",1263000,"Powiat m.Tarnów",2016,1296
"8498",1401000,"Powiat białobrzeski",2016,554
"8499",1402000,"Powiat ciechanowski",2016,1461
"8500",1403000,"Powiat garwoliński",2016,943
"8501",1404000,"Powiat gostyniński",2016,843
"8502",1405000,"Powiat grodziski",2016,650
"8503",1406000,"Powiat grójecki",2016,593
"8504",1407000,"Powiat kozienicki",2016,978
"8505",1408000,"Powiat legionowski",2016,1030
"8506",1409000,"Powiat lipski",2016,700
"8507",1410000,"Powiat łosicki",2016,456
"8508",1411000,"Powiat makowski",2016,965
"8509",1412000,"Powiat miński",2016,1139
"8510",1413000,"Powiat mławski",2016,1010
"8511",1414000,"Powiat nowodworski",2016,898
"8512",1415000,"Powiat ostrołęcki",2016,1033
"8513",1416000,"Powiat ostrowski",2016,1204
"8514",1417000,"Powiat otwocki",2016,652
"8515",1418000,"Powiat piaseczyński",2016,812
"8516",1419000,"Powiat płocki",2016,1991
"8517",1420000,"Powiat płoński",2016,1352
"8518",1421000,"Powiat pruszkowski",2016,685
"8519",1422000,"Powiat przasnyski",2016,1050
"8520",1423000,"Powiat przysuski",2016,716
"8521",1424000,"Powiat pułtuski",2016,897
"8522",1425000,"Powiat radomski",2016,2470
"8523",1426000,"Powiat siedlecki",2016,774
"8524",1427000,"Powiat sierpecki",2016,1242
"8525",1428000,"Powiat sochaczewski",2016,1029
"8526",1429000,"Powiat sokołowski",2016,596
"8527",1430000,"Powiat szydłowiecki",2016,1039
"8528",1432000,"Powiat warszawski zachodni",2016,446
"8529",1433000,"Powiat węgrowski",2016,882
"8530",1434000,"Powiat wołomiński",2016,1771
"8531",1435000,"Powiat wyszkowski",2016,647
"8532",1436000,"Powiat zwoleński",2016,848
"8533",1437000,"Powiat żuromiński",2016,629
"8534",1438000,"Powiat żyrardowski",2016,777
"8535",1461000,"Powiat m.Ostrołęka",2016,1290
"8536",1462000,"Powiat m.Płock",2016,2367
"8537",1463000,"Powiat m.Radom",2016,5495
"8538",1464000,"Powiat m.Siedlce",2016,1053
"8539",1465000,"Powiat m. st. Warszawa",2016,6804
"8540",1601000,"Powiat brzeski",2016,1360
"8541",1602000,"Powiat głubczycki",2016,1131
"8542",1603000,"Powiat kędzierzyńsko-kozielski",2016,1444
"8543",1604000,"Powiat kluczborski",2016,905
"8544",1605000,"Powiat krapkowicki",2016,675
"8545",1606000,"Powiat namysłowski",2016,671
"8546",1607000,"Powiat nyski",2016,2551
